,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_1,NA,NA,NA,2,4,0,0,2,NA,NA,0,3
cell_2,NA,NA,NA,NA,NA,0,NA,2,4,3,0,3
cell_3,NA,NA,NA,2,4,0,2,2,NA,3,0,3
cell_4,NA,NA,NA,2,4,0,2,2,4,3,0,3
cell_5,NA,NA,NA,2,0,0,0,2,11,3,0,NA
cell_6,NA,NA,NA,2,0,0,NA,2,11,3,NA,NA
cell_7,NA,NA,NA,2,0,0,0,2,NA,3,0,3
cell_8,NA,NA,NA,2,3,0,0,NA,NA,3,NA,NA
cell_9,2,NA,0,NA,0,0,2,NA,0,3,NA,NA
cell_10,2,0,NA,2,NA,NA,0,2,0,3,2,3
cell_11,0,0,0,2,NA,0,0,2,NA,3,0,NA
cell_12,0,0,NA,NA,0,NA,0,2,0,3,NA,3
cell_13,0,NA,NA,NA,NA,NA,0,2,5,NA,NA,3
cell_14,0,2,0,2,NA,0,NA,2,0,3,0,NA
cell_15,0,0,0,2,0,2,0,2,2,NA,0,NA
cell_16,3,NA,0,2,NA,2,0,2,2,3,NA,3
cell_17,0,0,0,2,0,0,0,2,NA,3,0,3
cell_18,0,0,NA,NA,0,NA,0,NA,NA,3,NA,3
cell_19,NA,0,0,2,0,NA,0,2,0,NA,0,3
cell_20,0,0,0,NA,0,NA,0,2,NA,3,NA,3
cell_21,2,2,0,2,9,NA,0,2,0,3,NA,3
cell_22,2,NA,0,2,9,0,0,2,0,3,0,3
cell_23,0,NA,0,2,9,NA,NA,2,NA,3,NA,NA
cell_24,NA,0,0,NA,9,0,0,2,0,3,NA,NA
cell_25,0,0,0,2,0,NA,0,2,NA,NA,5,3
cell_26,0,0,0,NA,0,NA,0,2,NA,3,NA,3
cell_27,2,NA,0,2,3,2,3,2,6,3,0,3
cell_28,2,0,0,2,NA,NA,NA,NA,6,NA,8,3
cell_29,NA,NA,0,2,0,NA,NA,2,0,NA,0,3
cell_30,NA,NA,0,2,NA,NA,5,2,0,NA,NA,3
cell_31,0,3,NA,2,0,NA,NA,NA,NA,NA,0,NA
cell_32,NA,NA,0,2,NA,0,0,2,0,3,NA,3
cell_33,4,2,5,2,2,NA,2,2,0,3,2,3
cell_34,4,NA,5,2,2,0,2,NA,NA,NA,2,3
cell_35,NA,2,5,2,2,0,2,2,NA,3,NA,NA
cell_36,NA,NA,5,2,2,0,NA,2,NA,3,NA,NA
cell_37,4,2,5,2,2,0,0,2,0,3,0,3
cell_38,4,2,5,NA,2,0,0,NA,0,3,NA,NA
cell_39,NA,2,5,2,NA,NA,NA,2,5,3,0,3
cell_40,NA,2,5,2,2,0,0,NA,0,3,NA,NA
cell_41,NA,2,5,2,2,3,0,2,NA,3,0,3
cell_42,4,2,5,NA,NA,3,0,2,0,NA,0,NA
cell_43,4,2,5,NA,2,3,0,2,NA,3,0,3
cell_44,NA,2,5,2,2,3,0,2,0,3,NA,3
cell_45,4,2,5,2,2,3,0,2,NA,3,NA,3
cell_46,NA,2,5,2,2,NA,0,2,NA,3,0,NA
cell_47,4,NA,5,2,2,3,NA,2,0,NA,0,3
cell_48,NA,NA,NA,NA,NA,3,0,2,0,3,0,3
cell_49,3,0,NA,NA,0,0,NA,2,NA,3,NA,NA
cell_50,0,NA,5,NA,0,0,5,2,0,NA,2,NA
cell_51,0,8,NA,2,0,0,NA,2,0,3,NA,3
cell_52,NA,8,5,NA,2,0,5,NA,NA,NA,0,NA
cell_53,NA,4,5,2,0,2,5,NA,2,3,0,3
cell_54,21,NA,5,NA,0,NA,5,2,2,3,0,NA
cell_55,21,4,NA,2,NA,NA,5,NA,2,3,NA,3
cell_56,NA,4,NA,2,0,0,5,2,NA,3,NA,3
cell_57,NA,0,5,NA,NA,NA,5,2,0,3,NA,3
cell_58,0,0,5,2,2,2,5,2,NA,3,NA,NA
cell_59,0,0,5,2,2,0,5,NA,NA,3,12,3
cell_60,0,0,5,2,2,NA,5,2,0,3,NA,3
cell_61,0,0,NA,2,NA,5,5,2,0,3,3,3
cell_62,0,0,NA,2,2,NA,5,2,0,NA,3,3
cell_63,NA,0,5,2,NA,NA,5,2,0,3,0,3
cell_64,0,0,5,2,2,2,5,2,0,NA,0,3
cell_65,0,9,0,NA,NA,0,0,2,5,NA,0,3
cell_66,NA,9,NA,2,0,0,0,2,NA,3,0,3
cell_67,NA,NA,0,NA,0,0,0,NA,0,3,6,NA
cell_68,0,0,0,2,NA,0,0,NA,0,NA,6,3
cell_69,NA,0,0,NA,NA,0,5,NA,0,NA,0,3
cell_70,2,0,0,NA,NA,NA,5,NA,NA,3,NA,3
cell_71,2,0,0,NA,0,0,0,2,NA,NA,0,NA
cell_72,NA,0,NA,2,NA,0,0,NA,0,NA,NA,NA
cell_73,0,0,10,2,0,NA,0,2,NA,3,2,3
cell_74,3,0,NA,NA,NA,NA,0,2,0,3,2,3
cell_75,0,NA,NA,2,0,0,0,2,0,3,0,3
cell_76,NA,0,NA,2,0,0,0,NA,NA,NA,0,3
cell_77,0,0,NA,2,0,0,0,2,0,3,2,NA
cell_78,0,NA,10,NA,NA,NA,0,NA,0,3,NA,3
cell_79,NA,0,NA,NA,0,0,8,2,0,3,NA,NA
cell_80,0,NA,NA,2,0,NA,8,2,0,3,2,NA
cell_81,0,0,0,2,4,2,NA,2,NA,3,0,3
cell_82,0,0,NA,2,8,0,5,NA,0,3,0,3
cell_83,5,9,0,2,0,0,5,2,0,3,0,3
cell_84,0,9,0,2,0,0,5,NA,0,NA,0,3
cell_85,0,0,0,NA,0,0,5,2,0,3,0,3
cell_86,0,0,0,2,0,0,NA,2,NA,3,0,3
cell_87,NA,NA,NA,2,0,0,NA,2,NA,NA,0,NA
cell_88,0,0,0,2,2,0,NA,2,0,3,0,3
cell_89,0,0,NA,2,NA,6,NA,2,0,NA,0,NA
cell_90,0,0,0,NA,0,6,NA,2,0,3,NA,NA
cell_91,NA,0,0,2,0,6,0,NA,NA,3,0,3
cell_92,NA,0,NA,2,NA,6,0,2,0,3,NA,3
cell_93,0,NA,NA,NA,0,6,0,2,0,3,0,3
cell_94,NA,NA,2,NA,NA,6,0,2,0,3,0,3
cell_95,NA,0,0,NA,NA,6,0,NA,NA,3,0,3
cell_96,NA,NA,0,2,0,6,0,2,0,3,0,NA
cell_97,NA,0,NA,2,0,2,2,2,NA,3,NA,3
cell_98,NA,0,NA,2,NA,2,0,NA,4,3,NA,NA
cell_99,0,NA,3,2,5,2,0,2,NA,3,2,3
cell_100,NA,NA,0,NA,NA,2,0,NA,4,3,2,3
cell_101,0,NA,NA,NA,NA,0,0,2,0,3,NA,3
cell_102,0,0,0,2,0,NA,0,2,0,3,2,NA
cell_103,0,0,NA,2,NA,0,3,2,0,3,NA,NA
cell_104,NA,NA,0,NA,2,0,3,2,NA,3,2,3
cell_105,0,2,0,2,51,0,0,2,0,3,0,NA
cell_106,0,2,0,NA,NA,NA,0,2,NA,NA,0,NA
cell_107,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,3
cell_108,NA,2,2,NA,51,NA,NA,NA,NA,NA,NA,3
cell_109,NA,0,0,2,0,0,0,2,5,3,0,3
cell_110,NA,0,NA,2,NA,0,NA,NA,5,NA,NA,3
cell_111,NA,0,NA,2,0,NA,0,2,NA,3,0,NA
cell_112,NA,NA,0,NA,NA,0,0,2,NA,NA,0,3
cell_113,NA,2,NA,NA,0,0,0,2,NA,3,0,NA
cell_114,NA,0,2,2,NA,NA,0,2,10,3,0,3
cell_115,NA,NA,2,2,0,2,NA,2,10,3,0,NA
cell_116,0,20,2,2,NA,2,NA,NA,10,NA,0,3
cell_117,0,0,2,2,0,2,7,NA,10,3,NA,NA
cell_118,2,0,2,2,0,NA,NA,2,10,3,NA,3
cell_119,0,0,2,NA,0,0,0,2,10,3,NA,3
cell_120,NA,NA,2,NA,NA,NA,NA,2,10,3,2,3
cell_121,NA,NA,2,2,0,0,0,2,10,NA,0,NA
cell_122,0,0,NA,2,0,0,0,2,NA,3,NA,3
cell_123,NA,NA,NA,2,NA,0,0,2,10,3,NA,3
cell_124,0,NA,2,NA,NA,5,NA,NA,10,NA,0,3
cell_125,NA,0,2,2,NA,0,2,NA,10,3,0,NA
cell_126,0,2,2,NA,NA,NA,0,2,10,3,0,3
cell_127,NA,0,2,2,NA,30,2,2,10,3,0,3
cell_128,0,NA,2,NA,0,30,2,2,10,3,0,NA
cell_129,NA,2,54,NA,0,NA,2,NA,6,3,3,3
cell_130,0,NA,NA,NA,NA,NA,NA,NA,6,3,3,3
cell_131,NA,2,54,3,0,2,2,NA,NA,3,3,3
cell_132,0,2,54,NA,NA,NA,2,2,0,3,3,NA
cell_133,2,NA,54,0,0,NA,2,2,0,NA,3,3
cell_134,NA,NA,NA,0,NA,NA,2,2,0,3,3,3
cell_135,0,NA,NA,0,2,NA,2,2,0,3,3,3
cell_136,0,2,NA,0,0,2,2,2,NA,NA,3,3
cell_137,0,2,14,NA,0,2,2,2,0,3,3,3
cell_138,NA,2,14,0,0,NA,NA,2,0,3,3,3
cell_139,NA,2,14,NA,5,2,NA,NA,0,3,3,3
cell_140,NA,NA,14,0,5,2,2,2,NA,3,3,3
cell_141,NA,2,NA,NA,0,NA,2,NA,0,3,3,3
cell_142,NA,2,14,0,0,NA,2,2,0,3,NA,3
cell_143,0,2,14,NA,NA,2,2,2,NA,3,3,3
cell_144,2,2,NA,0,3,2,2,2,0,3,NA,3
cell_145,0,2,0,0,2,2,2,2,0,NA,NA,3
cell_146,NA,NA,0,0,2,2,2,2,0,3,3,3
cell_147,NA,2,2,NA,2,2,2,NA,0,3,3,NA
cell_148,0,2,2,NA,2,NA,NA,2,0,3,3,NA
cell_149,0,2,0,NA,2,2,NA,2,0,3,NA,3
cell_150,0,NA,NA,2,NA,NA,2,2,NA,NA,3,NA
cell_151,0,NA,0,NA,NA,NA,2,NA,0,3,3,NA
cell_152,NA,2,0,2,NA,NA,2,2,2,NA,3,3
cell_153,0,2,0,0,NA,NA,2,NA,NA,3,3,3
cell_154,NA,2,0,0,0,2,2,2,0,3,NA,NA
cell_155,2,2,5,NA,NA,2,2,2,NA,3,NA,NA
cell_156,5,2,0,0,0,2,2,2,NA,3,NA,3
cell_157,NA,2,49,0,0,2,2,2,0,3,NA,3
cell_158,NA,2,NA,0,0,2,2,2,0,NA,NA,NA
cell_159,2,2,49,0,NA,NA,2,NA,0,NA,3,3
cell_160,NA,2,49,0,0,2,2,2,0,3,3,3
cell_161,0,2,0,0,NA,0,NA,NA,2,NA,13,NA
cell_162,0,2,0,NA,0,0,2,NA,2,3,13,3
cell_163,NA,2,0,0,NA,0,2,2,2,3,13,3
cell_164,0,NA,NA,0,NA,0,2,2,2,3,NA,3
cell_165,0,2,0,0,NA,NA,2,2,2,NA,NA,3
cell_166,0,NA,0,0,NA,20,2,NA,2,NA,NA,NA
cell_167,0,NA,0,0,0,20,NA,NA,2,NA,13,NA
cell_168,0,NA,0,0,NA,20,2,2,2,3,13,NA
cell_169,0,2,NA,7,NA,2,2,2,2,3,13,3
cell_170,NA,NA,NA,7,NA,NA,2,NA,2,NA,NA,NA
cell_171,0,2,0,7,4,NA,2,2,0,3,13,3
cell_172,0,2,0,7,4,NA,2,NA,2,3,NA,3
cell_173,NA,2,0,NA,0,2,NA,NA,NA,3,NA,NA
cell_174,NA,2,0,7,9,2,2,NA,NA,3,NA,NA
cell_175,NA,2,0,NA,0,2,2,2,NA,3,13,NA
cell_176,0,2,0,NA,0,2,2,NA,NA,3,13,3
cell_177,NA,NA,0,NA,0,NA,NA,2,NA,3,13,NA
cell_178,4,2,0,2,0,2,2,NA,NA,3,13,3
cell_179,4,2,0,0,0,2,2,2,0,3,13,NA
cell_180,4,2,NA,0,0,2,NA,NA,0,3,NA,NA
cell_181,NA,2,NA,0,2,0,2,2,0,3,13,NA
cell_182,4,2,0,NA,2,0,2,2,0,3,13,3
cell_183,NA,NA,0,0,2,0,2,NA,NA,3,13,3
cell_184,NA,NA,0,0,2,0,NA,2,0,3,13,3
cell_185,NA,NA,0,0,0,0,NA,2,0,3,13,3
cell_186,4,2,0,0,0,NA,2,2,NA,3,NA,3
cell_187,4,NA,NA,NA,0,0,2,2,6,3,13,NA
cell_188,4,2,0,0,0,0,2,2,6,3,13,3
cell_189,NA,2,0,0,NA,NA,NA,2,0,3,NA,3
cell_190,4,2,0,NA,0,0,2,2,NA,NA,13,3
cell_191,NA,NA,NA,NA,NA,0,NA,2,NA,3,13,3
cell_192,4,2,NA,NA,NA,NA,2,2,0,NA,NA,3
cell_193,2,0,0,2,NA,0,NA,NA,0,NA,2,3
cell_194,2,0,2,2,NA,11,NA,NA,NA,NA,2,NA
cell_195,NA,0,NA,2,2,0,NA,2,NA,3,2,NA
cell_196,NA,NA,NA,2,2,0,3,NA,2,3,2,3
cell_197,2,2,0,2,NA,0,0,2,5,3,NA,NA
cell_198,2,2,0,NA,2,0,0,NA,5,3,2,3
cell_199,2,NA,NA,NA,2,0,0,2,2,3,2,3
cell_200,2,NA,NA,2,2,0,0,2,0,3,2,NA
cell_201,0,0,2,0,2,NA,0,2,0,3,2,3
cell_202,0,0,2,0,NA,0,0,2,0,3,NA,3
cell_203,0,2,2,0,NA,0,0,2,0,3,2,3
cell_204,0,0,NA,NA,2,0,0,2,0,3,2,3
cell_205,0,0,0,0,2,0,0,NA,15,3,2,3
cell_206,NA,NA,0,NA,2,0,NA,2,0,3,2,NA
cell_207,NA,0,0,0,2,0,NA,NA,0,3,2,NA
cell_208,NA,NA,0,0,2,NA,0,2,NA,3,2,NA
cell_209,51,0,0,NA,NA,0,NA,2,NA,3,2,3
cell_210,51,0,0,0,NA,NA,0,NA,2,3,NA,NA
cell_211,0,NA,NA,0,2,NA,NA,NA,2,3,2,3
cell_212,0,0,NA,NA,2,2,NA,2,NA,NA,2,NA
cell_213,4,NA,2,5,2,NA,2,2,NA,NA,2,3
cell_214,0,NA,2,0,NA,0,NA,2,0,3,NA,NA
cell_215,NA,0,5,NA,NA,0,NA,2,0,NA,2,3
cell_216,0,0,NA,4,NA,NA,0,2,NA,NA,2,3
cell_217,0,2,NA,0,2,NA,2,2,0,3,2,NA
cell_218,0,2,3,NA,2,NA,2,NA,0,3,2,3
cell_219,NA,0,NA,0,2,2,2,NA,0,NA,2,3
cell_220,0,0,NA,0,2,2,NA,2,NA,3,2,3
cell_221,2,NA,3,4,NA,0,2,NA,NA,3,2,NA
cell_222,0,0,3,4,NA,NA,2,2,0,NA,2,NA
cell_223,0,0,3,0,2,NA,NA,2,NA,NA,2,NA
cell_224,NA,0,3,0,2,NA,2,NA,NA,3,2,3
cell_225,NA,2,NA,NA,NA,0,0,2,NA,3,3,3
cell_226,0,2,2,0,3,0,0,2,NA,3,3,3
cell_227,0,2,2,0,2,0,NA,NA,0,3,3,NA
cell_228,0,2,2,0,2,0,0,2,NA,NA,3,3
cell_229,0,2,2,0,NA,0,NA,NA,0,3,NA,3
cell_230,0,2,NA,0,0,0,3,2,0,3,3,3
cell_231,0,2,2,0,NA,NA,2,2,0,NA,3,3
cell_232,2,2,2,NA,NA,0,NA,2,NA,NA,NA,NA
cell_233,0,NA,2,0,NA,NA,0,2,0,NA,3,3
cell_234,NA,NA,2,0,3,0,NA,2,0,3,3,3
cell_235,0,0,2,2,3,NA,NA,NA,NA,3,3,3
cell_236,0,NA,2,NA,3,0,NA,2,0,3,3,3
cell_237,2,2,2,NA,3,2,0,2,NA,NA,3,NA
cell_238,2,2,NA,NA,3,NA,NA,NA,0,NA,3,NA
cell_239,2,2,2,NA,3,NA,NA,2,NA,3,NA,3
cell_240,0,2,2,0,NA,NA,9,2,0,3,3,3
cell_241,2,0,5,0,0,2,0,2,0,NA,0,3
cell_242,NA,0,5,0,0,2,0,2,2,3,NA,3
cell_243,2,0,NA,NA,2,2,0,2,0,3,0,3
cell_244,2,NA,0,NA,0,2,NA,2,NA,3,2,NA
cell_245,2,0,0,NA,0,2,0,2,0,3,2,NA
cell_246,2,2,NA,2,0,NA,0,2,0,3,0,NA
cell_247,2,2,0,NA,NA,NA,NA,2,0,3,3,3
cell_248,2,NA,0,NA,NA,2,NA,2,0,3,NA,3
cell_249,0,2,NA,NA,NA,NA,0,NA,NA,3,0,3
cell_250,0,2,2,NA,2,0,0,2,0,3,0,NA
cell_251,0,0,0,2,0,0,NA,NA,0,3,0,3
cell_252,NA,0,NA,2,0,0,0,2,0,3,0,NA
cell_253,2,0,0,2,9,0,0,2,0,NA,0,3
cell_254,NA,0,NA,2,NA,NA,NA,NA,2,3,0,3
cell_255,2,NA,NA,NA,0,2,0,2,NA,3,0,3
cell_256,NA,NA,0,NA,0,2,0,2,0,3,0,3
cell_257,2,NA,NA,2,5,NA,NA,NA,0,NA,2,3
cell_258,2,2,NA,2,5,NA,NA,2,0,2,2,NA
cell_259,NA,2,0,2,NA,2,NA,2,0,2,2,3
