,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_1,3,NA,2,0,0,2,8,0,NA,3,2,50
cell_2,3,10,0,0,0,2,8,0,NA,3,NA,50
cell_3,NA,10,0,NA,10,NA,NA,0,3,3,2,NA
cell_4,3,10,NA,2,10,2,8,0,NA,3,NA,NA
cell_5,3,10,5,2,2,2,8,NA,NA,3,2,NA
cell_6,3,NA,5,NA,NA,2,NA,0,3,3,NA,50
cell_7,3,NA,5,0,NA,2,8,2,3,NA,2,NA
cell_8,NA,10,NA,2,0,2,8,NA,3,NA,NA,NA
cell_9,3,10,NA,NA,NA,NA,8,0,3,3,NA,50
cell_10,3,NA,NA,NA,0,2,8,0,NA,3,2,NA
cell_11,NA,10,NA,NA,0,2,8,0,NA,3,2,50
cell_12,3,10,NA,NA,NA,2,8,NA,3,3,2,50
cell_13,3,10,5,0,0,NA,NA,2,3,NA,2,NA
cell_14,3,10,5,NA,NA,2,NA,2,3,NA,NA,NA
cell_15,3,NA,NA,0,0,NA,8,NA,3,3,NA,50
cell_16,3,10,NA,NA,0,2,8,2,3,3,2,50
cell_17,3,NA,NA,NA,NA,2,2,5,3,3,NA,NA
cell_18,NA,10,NA,NA,NA,2,NA,5,NA,3,2,NA
cell_19,NA,10,8,0,2,2,2,5,3,3,2,NA
cell_20,NA,10,8,NA,NA,2,2,5,3,NA,NA,0
cell_21,3,NA,8,0,2,2,NA,5,NA,3,2,3
cell_22,3,10,NA,0,2,2,2,5,3,NA,2,0
cell_23,NA,10,NA,4,2,2,2,5,3,3,2,0
cell_24,NA,10,8,0,2,2,2,5,NA,3,2,2
cell_25,3,10,0,NA,0,NA,2,5,3,3,NA,0
cell_26,NA,10,NA,NA,NA,2,2,5,3,NA,2,2
cell_27,3,10,0,NA,0,2,2,5,3,3,2,0
cell_28,3,10,NA,0,0,NA,2,5,NA,3,2,NA
cell_29,3,10,NA,0,0,NA,NA,5,3,3,2,2
cell_30,3,NA,NA,0,0,2,2,5,3,NA,2,2
cell_31,3,10,0,0,0,2,2,5,3,3,2,2
cell_32,3,NA,0,0,0,2,2,NA,NA,3,2,NA
cell_33,2,10,0,4,3,11,NA,2,3,3,NA,3
cell_34,2,10,0,4,3,11,2,NA,NA,3,2,3
cell_35,2,10,0,4,NA,NA,2,2,3,3,2,NA
cell_36,NA,NA,3,4,3,11,2,2,3,3,NA,3
cell_37,2,NA,NA,4,3,11,2,5,3,NA,NA,3
cell_38,NA,10,14,4,3,11,NA,NA,NA,NA,2,NA
cell_39,2,10,0,4,3,11,2,NA,3,3,2,NA
cell_40,2,10,NA,NA,3,NA,2,NA,3,3,2,NA
cell_41,2,10,2,4,3,11,2,0,3,3,NA,3
cell_42,2,10,2,NA,3,11,2,2,3,3,2,3
cell_43,2,10,0,4,3,NA,2,0,3,NA,NA,3
cell_44,2,NA,2,4,NA,11,2,NA,NA,3,2,3
cell_45,2,10,NA,4,3,NA,2,0,NA,3,2,NA
cell_46,NA,10,NA,4,3,11,2,NA,3,3,2,3
cell_47,NA,NA,NA,4,3,11,2,NA,NA,3,2,3
cell_48,NA,10,NA,4,NA,11,NA,0,NA,NA,2,3
cell_49,NA,10,2,0,NA,11,2,NA,3,NA,NA,0
cell_50,3,NA,2,0,3,NA,2,2,3,NA,NA,0
cell_51,NA,10,0,0,3,11,2,NA,NA,3,2,NA
cell_52,3,10,0,NA,3,11,2,2,3,3,NA,0
cell_53,NA,10,0,0,NA,11,2,4,3,3,2,NA
cell_54,NA,NA,0,0,NA,11,NA,4,3,3,2,NA
cell_55,3,10,2,NA,3,NA,2,NA,3,3,NA,NA
cell_56,NA,10,NA,26,NA,11,NA,4,3,3,2,2
cell_57,2,10,2,NA,3,11,NA,NA,NA,NA,2,3
cell_58,2,10,2,2,3,11,NA,0,NA,3,2,NA
cell_59,0,NA,2,NA,NA,NA,2,0,3,NA,2,0
cell_60,0,10,2,NA,3,NA,2,NA,NA,3,2,NA
cell_61,2,10,3,2,NA,11,NA,NA,NA,3,2,NA
cell_62,0,10,NA,2,NA,11,2,0,NA,NA,2,NA
cell_63,0,10,NA,2,3,11,2,8,3,NA,2,0
cell_64,0,10,0,NA,3,11,2,NA,3,NA,2,13
cell_65,NA,10,0,4,49,3,2,NA,NA,3,2,3
cell_66,5,10,0,NA,49,3,NA,NA,NA,3,2,3
cell_67,NA,NA,2,0,49,NA,NA,3,NA,3,2,3
cell_68,5,10,2,NA,49,3,2,3,3,3,NA,3
cell_69,NA,10,0,0,49,3,2,NA,NA,3,2,3
cell_70,5,10,0,2,49,NA,NA,NA,NA,3,NA,3
cell_71,5,NA,0,0,49,3,NA,3,3,3,2,3
cell_72,5,NA,NA,0,49,NA,2,3,3,3,2,NA
cell_73,5,10,20,2,NA,3,5,2,NA,NA,2,3
cell_74,5,10,NA,NA,49,3,5,NA,NA,NA,2,NA
cell_75,5,10,0,3,49,NA,NA,2,3,3,2,3
cell_76,5,10,NA,NA,49,3,5,NA,3,3,2,NA
cell_77,5,10,0,2,49,3,NA,NA,3,NA,NA,NA
cell_78,NA,10,0,NA,49,3,5,NA,3,3,2,3
cell_79,5,10,NA,2,NA,3,5,0,NA,3,NA,3
cell_80,5,10,NA,2,49,NA,NA,0,3,3,2,NA
cell_81,5,10,NA,9,0,NA,2,0,3,NA,2,NA
cell_82,5,10,15,9,0,3,2,0,3,3,NA,2
cell_83,5,10,NA,NA,NA,3,2,0,3,3,2,2
cell_84,5,10,NA,9,0,3,2,0,3,3,2,2
cell_85,5,10,15,9,NA,3,NA,2,NA,3,2,NA
cell_86,5,NA,NA,9,NA,3,0,2,NA,NA,2,2
cell_87,5,10,NA,9,0,3,0,NA,3,NA,2,2
cell_88,NA,10,15,9,0,NA,0,2,NA,3,2,NA
cell_89,5,10,2,9,26,NA,NA,NA,NA,NA,2,NA
cell_90,NA,10,2,9,26,3,NA,0,3,3,2,0
cell_91,NA,NA,NA,9,NA,NA,2,NA,3,3,2,NA
cell_92,5,10,NA,NA,26,3,NA,0,3,3,2,NA
cell_93,NA,10,0,9,5,NA,NA,0,3,NA,2,0
cell_94,5,NA,0,9,5,NA,NA,0,3,3,2,NA
cell_95,5,NA,0,9,NA,3,2,0,NA,3,2,NA
cell_96,5,10,2,9,5,3,NA,NA,NA,NA,2,NA
cell_97,NA,NA,2,NA,NA,3,2,8,3,3,NA,0
cell_98,5,NA,NA,2,2,NA,2,8,3,3,2,0
cell_99,NA,NA,NA,2,2,3,2,8,NA,3,NA,NA
cell_100,5,10,NA,2,2,3,2,8,3,NA,NA,0
cell_101,5,10,2,2,2,NA,2,2,NA,3,2,NA
cell_102,NA,10,2,2,2,3,2,0,3,NA,NA,8
cell_103,5,10,NA,2,2,3,2,NA,3,NA,NA,8
cell_104,5,10,NA,NA,2,3,2,0,3,NA,NA,8
cell_105,5,10,2,2,2,3,NA,NA,NA,NA,2,2
cell_106,5,10,2,2,NA,NA,NA,NA,NA,3,2,2
cell_107,5,10,NA,2,2,3,NA,0,3,NA,NA,NA
