,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_1,5,3,0,3,NA,2,9,18,5,2,2,3
cell_2,NA,2,8,3,2,2,NA,NA,5,2,2,3
cell_3,2,NA,0,3,NA,2,9,18,0,NA,2,0
cell_4,0,0,2,3,2,2,9,18,0,2,2,0
cell_5,0,2,2,3,13,NA,9,18,4,2,2,0
cell_6,0,2,2,3,13,2,9,18,4,2,2,NA
cell_7,3,0,2,3,0,2,9,18,4,2,2,0
cell_8,3,4,2,NA,NA,2,NA,NA,4,2,NA,NA
cell_9,0,0,0,3,NA,2,9,NA,3,2,NA,2
cell_10,0,0,NA,3,2,NA,9,NA,NA,2,2,0
cell_11,2,2,0,3,2,NA,9,18,3,2,NA,9
cell_12,0,0,NA,3,2,2,9,18,3,2,2,0
cell_13,0,3,0,3,NA,2,9,18,0,2,NA,4
cell_14,0,3,3,3,3,2,9,18,0,2,2,0
cell_15,0,2,0,3,3,NA,9,18,0,2,2,NA
cell_16,NA,0,0,NA,NA,NA,9,18,0,2,2,0
cell_17,NA,0,0,3,12,2,NA,NA,0,2,NA,0
cell_18,NA,0,NA,3,NA,NA,9,18,0,2,2,2
cell_19,4,3,2,3,NA,2,9,18,0,2,2,39
cell_20,4,3,5,3,NA,NA,NA,18,0,NA,2,NA
cell_21,4,3,0,3,12,2,9,18,0,NA,2,0
cell_22,4,3,0,3,12,NA,9,18,NA,NA,2,0
cell_23,4,3,NA,3,12,2,9,18,3,2,2,5
cell_24,4,3,0,3,12,2,9,18,3,2,2,0
cell_25,0,2,0,3,12,2,NA,18,29,2,2,45
cell_26,2,2,0,3,NA,2,9,18,NA,2,2,45
cell_27,0,2,0,3,NA,NA,9,18,NA,2,2,45
cell_28,NA,2,0,3,12,NA,9,18,29,2,2,NA
cell_29,2,0,0,3,12,2,9,NA,29,2,2,0
cell_30,2,0,0,3,12,NA,9,18,29,2,2,5
cell_31,2,0,0,3,12,2,9,18,29,2,2,0
cell_32,2,0,0,3,12,2,NA,18,NA,2,2,0
cell_33,NA,2,3,3,2,2,9,18,0,2,2,2
cell_34,NA,NA,2,3,NA,2,9,NA,NA,2,NA,0
cell_35,4,2,0,NA,NA,2,9,NA,6,2,NA,2
cell_36,NA,2,0,3,0,NA,9,18,6,2,2,2
cell_37,NA,2,NA,3,0,2,9,18,NA,NA,2,5
cell_38,0,2,0,NA,0,2,9,18,NA,2,2,0
cell_39,12,2,NA,3,2,2,9,18,2,NA,2,0
cell_40,3,2,2,3,2,2,9,18,NA,2,2,NA
cell_41,2,2,4,3,11,2,9,NA,NA,NA,2,5
cell_42,2,0,4,3,NA,2,9,18,NA,2,2,5
cell_43,2,2,4,3,11,2,9,NA,2,NA,NA,5
cell_44,2,0,4,3,11,2,NA,18,2,2,2,5
cell_45,0,5,2,NA,11,NA,9,18,2,NA,2,11
cell_46,NA,5,2,3,11,2,9,18,2,NA,NA,0
cell_47,0,5,NA,NA,NA,NA,9,NA,NA,2,2,0
cell_48,NA,5,2,3,11,2,9,18,0,2,2,0
cell_49,0,NA,3,3,2,2,9,18,NA,2,2,0
cell_50,0,2,3,NA,2,2,9,18,3,2,2,2
cell_51,3,0,3,3,3,2,NA,18,0,2,2,2
cell_52,3,0,3,3,0,2,9,NA,0,2,2,0
cell_53,0,0,3,NA,2,2,9,NA,2,2,2,2
cell_54,0,0,NA,NA,2,2,9,18,2,2,2,2
cell_55,NA,0,3,3,5,2,9,18,2,2,2,2
cell_56,0,0,NA,3,0,NA,9,NA,2,2,2,2
cell_57,5,2,NA,3,29,2,NA,18,NA,2,NA,NA
cell_58,0,2,3,3,NA,2,9,NA,NA,NA,2,2
cell_59,NA,NA,NA,3,0,2,9,18,NA,2,2,2
cell_60,0,2,3,3,0,2,9,NA,0,NA,NA,2
cell_61,2,3,NA,3,3,2,9,18,NA,NA,2,2
cell_62,2,3,3,NA,3,NA,9,NA,0,2,2,0
cell_63,2,0,3,3,3,2,9,18,0,2,2,0
cell_64,2,NA,3,3,3,2,9,18,0,2,2,NA
cell_65,4,2,12,3,3,0,9,11,NA,2,NA,NA
cell_66,4,NA,NA,3,NA,2,9,11,2,2,2,0
cell_67,4,2,12,NA,0,NA,9,NA,2,NA,0,NA
cell_68,4,2,NA,3,0,NA,NA,NA,2,0,0,4
cell_69,4,2,12,3,NA,0,NA,11,2,0,0,0
cell_70,4,NA,NA,3,5,0,9,11,2,0,0,0
cell_71,4,2,NA,3,NA,0,9,11,2,0,0,4
cell_72,4,2,12,3,5,0,9,11,2,0,NA,4
cell_73,4,2,NA,3,NA,94,NA,11,8,0,0,0
cell_74,4,2,12,3,NA,NA,9,11,8,0,NA,NA
cell_75,4,2,12,3,NA,NA,9,11,NA,0,0,18
cell_76,4,2,12,3,2,94,9,11,8,NA,0,18
cell_77,4,NA,12,3,3,NA,9,11,8,2,2,8
cell_78,4,NA,12,3,NA,94,9,11,8,2,0,NA
cell_79,4,2,12,3,3,94,NA,11,8,2,0,0
cell_80,NA,2,12,3,3,94,9,11,8,2,0,0
cell_81,4,0,12,3,5,8,9,NA,0,NA,36,8
cell_82,4,0,12,3,NA,8,NA,11,0,0,36,NA
cell_83,4,NA,12,NA,5,8,9,11,0,NA,0,NA
cell_84,4,0,12,3,5,8,9,11,0,NA,NA,8
cell_85,4,2,12,3,5,8,9,11,NA,2,0,NA
cell_86,4,2,12,3,5,NA,9,NA,0,2,4,8
cell_87,4,0,12,3,5,8,9,11,11,2,0,8
cell_88,4,7,12,3,5,NA,9,NA,NA,2,0,8
cell_89,4,0,12,3,NA,8,9,11,NA,0,2,8
cell_90,NA,0,12,3,NA,8,9,11,0,5,NA,8
cell_91,4,2,12,NA,5,8,9,NA,2,0,3,8
cell_92,4,0,12,3,NA,8,9,11,NA,0,NA,8
cell_93,4,0,12,3,5,8,NA,11,NA,2,0,8
cell_94,4,4,12,3,5,8,9,NA,9,2,2,8
cell_95,4,2,12,NA,NA,8,NA,11,9,2,0,8
cell_96,NA,2,12,3,5,8,9,NA,9,0,NA,8
cell_97,2,0,12,3,5,0,9,11,2,5,0,NA
cell_98,2,2,12,3,5,NA,9,11,2,5,0,3
cell_99,2,NA,12,3,5,NA,9,11,NA,5,2,3
cell_100,2,0,12,3,5,4,9,11,2,5,NA,3
cell_101,2,0,12,NA,5,NA,NA,11,2,5,NA,NA
cell_102,2,0,12,3,5,2,9,NA,2,NA,0,3
cell_103,NA,NA,12,3,5,0,9,11,2,5,0,3
cell_104,NA,0,12,3,5,0,NA,11,2,5,NA,3
cell_105,2,2,12,3,5,NA,9,11,2,5,3,3
cell_106,2,2,12,NA,5,0,NA,11,2,5,3,3
cell_107,NA,2,NA,3,5,NA,9,11,NA,5,3,3
cell_108,2,2,12,3,5,2,9,11,2,5,3,NA
cell_109,2,0,NA,3,5,0,9,11,NA,5,0,NA
cell_110,2,11,12,NA,5,0,9,11,2,5,0,3
cell_111,2,0,12,3,5,0,9,11,2,5,4,3
cell_112,NA,NA,12,3,5,0,9,NA,2,5,5,NA
cell_113,2,NA,12,3,0,0,9,11,0,5,NA,3
cell_114,2,2,12,3,0,NA,9,11,0,5,0,3
cell_115,2,2,12,3,NA,5,9,11,2,5,NA,3
cell_116,2,2,12,3,0,0,9,11,0,5,NA,3
cell_117,2,NA,12,3,9,0,NA,11,0,5,NA,3
cell_118,2,2,12,3,9,0,9,11,0,5,NA,3
cell_119,2,2,12,3,NA,0,9,11,0,5,0,3
