cell_id,state_label,state_type,state_depth,ted_parent_state,ted_cluster,ted_depth,ted_cellID
cell_1,1,terminal,6,9,1,6,1
cell_2,1,terminal,6,9,1,6,2
cell_3,1,terminal,6,9,1,6,3
cell_4,1,terminal,6,9,1,6,4
cell_5,1,terminal,6,9,1,6,5
cell_6,1,terminal,6,9,1,6,6
cell_7,1,terminal,6,9,1,6,7
cell_8,1,terminal,6,9,1,6,8
cell_9,1,terminal,6,9,1,6,9
cell_10,1,terminal,6,9,1,6,10
cell_11,1,terminal,6,9,1,6,11
cell_12,1,terminal,6,9,1,6,12
cell_13,1,terminal,6,9,1,6,13
cell_14,1,terminal,6,9,1,6,14
cell_15,1,terminal,6,9,1,6,15
cell_16,1,terminal,6,9,1,6,16
cell_17,1,terminal,6,9,1,6,17
cell_18,1,terminal,6,9,1,6,18
cell_19,1,terminal,6,9,1,6,19
cell_20,1,terminal,6,9,1,6,20
cell_21,1,terminal,6,9,1,6,21
cell_22,1,terminal,6,9,1,6,22
cell_23,1,terminal,6,9,1,6,23
cell_24,1,terminal,6,9,1,6,24
cell_25,1,terminal,6,9,1,6,25
cell_26,1,terminal,6,9,1,5,26
cell_27,1,terminal,6,9,1,5,27
cell_28,9,internal_or_root,5,8,9,4,28
cell_29,1,terminal,6,9,1,6,29
cell_30,1,terminal,6,9,1,5,30
cell_31,1,terminal,6,9,1,5,31
cell_32,9,internal_or_root,5,8,9,4,32
cell_33,1,terminal,6,9,1,6,33
cell_34,1,terminal,6,9,1,6,34
cell_35,1,terminal,6,9,1,6,35
cell_36,1,terminal,6,9,1,6,36
cell_37,1,terminal,6,9,1,6,37
cell_38,1,terminal,6,9,1,6,38
cell_39,1,terminal,6,9,1,6,39
cell_40,1,terminal,6,9,1,6,40
cell_41,1,terminal,6,9,1,6,41
cell_42,1,terminal,6,9,1,6,42
cell_43,1,terminal,6,9,1,6,43
cell_44,1,terminal,6,9,1,6,44
cell_45,1,terminal,6,9,1,6,45
cell_46,1,terminal,6,9,1,6,46
cell_47,1,terminal,6,9,1,6,47
cell_48,1,terminal,6,9,1,6,48
cell_49,1,terminal,6,9,1,6,49
cell_50,1,terminal,6,9,1,6,50
cell_51,1,terminal,6,9,1,6,51
cell_52,1,terminal,6,9,1,6,52
cell_53,1,terminal,6,9,1,6,53
cell_54,1,terminal,6,9,1,6,54
cell_55,1,terminal,6,9,1,6,55
cell_56,1,terminal,6,9,1,6,56
cell_57,1,terminal,6,9,1,6,57
cell_58,1,terminal,6,9,1,5,58
cell_59,1,terminal,6,9,1,6,59
cell_60,1,terminal,6,9,1,6,60
cell_61,1,terminal,6,9,1,6,61
cell_62,1,terminal,6,9,1,6,62
cell_63,1,terminal,6,9,1,6,63
cell_64,1,terminal,6,9,1,6,64
cell_65,2,terminal,6,10,2,6,65
cell_66,2,terminal,6,10,2,5,66
cell_67,2,terminal,6,10,2,6,67
cell_68,2,terminal,6,10,2,6,68
cell_69,2,terminal,6,10,2,6,69
cell_70,2,terminal,6,10,2,6,70
cell_71,1,terminal,6,9,1,6,71
cell_72,8,internal_or_root,4,7,8,3,72
cell_73,2,terminal,6,10,2,6,73
cell_74,2,terminal,6,10,2,5,74
cell_75,2,terminal,6,10,2,5,75
cell_76,2,terminal,6,10,2,6,76
cell_77,10,internal_or_root,5,8,10,4,77
cell_78,2,terminal,6,10,2,6,78
cell_79,7,internal_or_root,3,6,7,2,79
cell_80,8,internal_or_root,4,7,8,3,80
cell_81,2,terminal,6,10,2,6,81
cell_82,2,terminal,6,10,2,6,82
cell_83,2,terminal,6,10,2,6,83
cell_84,2,terminal,6,10,2,6,84
cell_85,2,terminal,6,10,2,5,85
cell_86,2,terminal,6,10,2,5,86
cell_87,2,terminal,6,10,2,6,87
cell_88,2,terminal,6,10,2,6,88
cell_89,2,terminal,6,10,2,6,89
cell_90,2,terminal,6,10,2,6,90
cell_91,2,terminal,6,10,2,6,91
cell_92,2,terminal,6,10,2,6,92
cell_93,2,terminal,6,10,2,6,93
cell_94,2,terminal,6,10,2,6,94
cell_95,2,terminal,6,10,2,6,95
cell_96,2,terminal,6,10,2,6,96
cell_97,2,terminal,6,10,2,6,97
cell_98,2,terminal,6,10,2,6,98
cell_99,2,terminal,6,10,2,5,99
cell_100,2,terminal,6,10,2,6,100
cell_101,2,terminal,6,10,2,6,101
cell_102,2,terminal,6,10,2,6,102
cell_103,2,terminal,6,10,2,5,103
cell_104,10,internal_or_root,5,8,10,4,104
cell_105,2,terminal,6,10,2,6,105
cell_106,2,terminal,6,10,2,6,106
cell_107,2,terminal,6,10,2,6,107
cell_108,2,terminal,6,10,2,6,108
cell_109,2,terminal,6,10,2,6,109
cell_110,2,terminal,6,10,2,6,110
cell_111,2,terminal,6,10,2,6,111
cell_112,2,terminal,6,10,2,6,112
cell_113,7,internal_or_root,3,6,7,2,113
cell_114,7,internal_or_root,3,6,7,2,114
cell_115,7,internal_or_root,3,6,7,2,115
cell_116,2,terminal,6,10,2,5,116
cell_117,2,terminal,6,10,2,6,117
cell_118,2,terminal,6,10,2,5,118
