,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
cell_1,2,36,2,3,5,3,2,2,NA,2,2,0,NA,2,50,NA
cell_2,2,NA,NA,NA,5,3,2,2,30,2,2,2,2,2,NA,3
cell_3,2,36,2,3,5,3,2,2,5,2,2,NA,2,2,50,0
cell_4,2,36,2,3,5,3,NA,2,5,2,NA,2,NA,2,50,NA
cell_5,2,NA,2,3,NA,3,2,2,0,2,2,0,NA,2,50,0
cell_6,2,36,NA,NA,5,3,NA,2,0,2,2,0,NA,2,50,5
cell_7,2,NA,2,3,5,3,NA,2,0,2,2,4,2,2,NA,0
cell_8,2,36,2,NA,5,NA,2,NA,0,NA,2,NA,2,2,50,NA
cell_9,NA,36,2,3,0,3,2,2,0,2,2,0,0,2,50,34
cell_10,2,36,2,3,NA,3,NA,2,0,2,2,0,0,NA,50,34
cell_11,2,36,2,3,0,3,NA,2,2,2,NA,NA,2,2,50,34
cell_12,2,36,NA,3,0,3,2,NA,NA,2,2,0,NA,2,50,34
cell_13,2,36,2,3,2,3,2,2,2,2,2,0,0,2,50,34
cell_14,NA,36,2,NA,3,NA,2,2,2,2,NA,0,0,2,50,34
cell_15,2,36,2,3,0,NA,2,2,2,NA,2,0,0,2,50,34
cell_16,2,36,2,3,5,3,2,2,2,NA,2,NA,NA,2,50,34
cell_17,2,36,NA,3,2,3,NA,2,NA,NA,2,6,NA,2,50,0
cell_18,2,NA,2,3,2,3,2,2,13,2,2,NA,NA,2,50,NA
cell_19,2,36,2,3,0,3,NA,2,NA,2,2,6,0,NA,50,NA
cell_20,2,36,2,3,0,3,2,2,NA,2,2,6,0,2,50,0
cell_21,NA,36,2,NA,0,3,2,2,NA,2,2,6,0,2,50,5
cell_22,2,36,2,NA,0,3,2,NA,13,2,2,6,0,2,50,5
cell_23,2,36,2,3,5,3,2,NA,13,2,2,6,NA,NA,50,NA
cell_24,2,36,NA,3,5,3,2,2,13,NA,2,6,0,2,50,5
cell_25,2,NA,2,3,NA,3,2,2,2,2,2,6,NA,NA,50,3
cell_26,2,NA,NA,3,5,NA,NA,2,2,2,2,6,0,2,50,3
cell_27,NA,36,2,3,NA,3,NA,2,2,2,2,6,9,2,50,3
cell_28,2,36,NA,NA,5,3,NA,2,2,2,NA,6,NA,2,50,3
cell_29,NA,NA,NA,3,5,3,2,2,2,2,2,NA,0,2,50,0
cell_30,2,36,2,NA,5,3,2,NA,2,2,2,NA,0,2,50,2
cell_31,2,36,2,3,5,NA,NA,2,2,2,2,6,2,2,50,2
cell_32,2,36,2,3,NA,3,2,2,2,2,2,6,0,2,NA,0
cell_33,2,NA,2,2,2,2,2,NA,0,NA,2,0,2,2,NA,52
cell_34,2,36,2,NA,2,2,2,2,NA,2,2,2,2,2,50,52
cell_35,2,36,2,4,2,NA,2,2,2,2,NA,0,NA,2,50,NA
cell_36,2,36,2,0,NA,NA,2,2,2,2,NA,0,NA,2,50,52
cell_37,2,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,50,52
cell_38,2,36,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,52
cell_39,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,50,52
cell_40,2,36,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,2,50,52
cell_41,2,36,2,2,0,NA,2,2,NA,2,2,NA,2,2,50,52
cell_42,NA,NA,2,2,0,2,2,2,2,2,2,0,2,NA,NA,NA
cell_43,2,36,2,0,NA,NA,2,NA,NA,2,2,NA,2,2,NA,NA
cell_44,NA,NA,2,0,0,2,NA,2,NA,2,2,0,2,2,50,52
cell_45,NA,NA,NA,2,NA,NA,2,2,2,2,2,NA,2,2,50,52
cell_46,2,36,2,NA,0,2,2,NA,NA,2,2,5,2,2,50,NA
cell_47,2,NA,2,2,8,2,NA,2,2,2,2,5,2,2,50,52
cell_48,2,36,2,2,8,2,2,2,2,2,NA,5,2,NA,50,NA
cell_49,2,36,NA,2,0,2,2,NA,0,2,2,5,NA,2,50,NA
cell_50,2,36,2,2,0,2,2,2,0,2,NA,NA,2,2,50,52
cell_51,2,36,2,2,NA,2,NA,2,8,2,2,5,2,2,50,52
cell_52,2,36,2,2,2,NA,2,2,8,NA,2,5,2,2,50,52
cell_53,2,NA,NA,2,0,NA,2,NA,0,2,2,5,2,2,50,NA
cell_54,2,36,2,2,NA,NA,2,NA,0,2,2,NA,2,2,50,52
cell_55,2,NA,2,2,NA,NA,NA,2,0,2,2,NA,2,2,NA,NA
cell_56,2,36,2,2,0,2,2,2,0,2,2,5,2,NA,50,52
cell_57,2,36,2,2,0,NA,2,2,2,2,2,5,NA,NA,50,52
cell_58,2,36,NA,2,2,2,2,NA,2,2,2,NA,2,2,NA,52
cell_59,2,36,2,2,5,NA,2,NA,NA,2,2,5,2,2,NA,52
cell_60,2,36,2,2,0,NA,NA,NA,2,NA,2,5,2,2,50,52
cell_61,2,36,2,2,5,2,2,2,NA,NA,2,5,2,2,50,52
cell_62,2,36,2,2,5,2,2,2,2,2,2,5,NA,2,50,NA
cell_63,2,36,NA,NA,5,NA,2,2,2,2,2,5,2,2,50,52
cell_64,2,NA,NA,2,NA,2,2,2,NA,NA,2,5,NA,2,50,52
cell_65,2,NA,2,2,2,NA,NA,2,0,2,2,NA,0,2,NA,0
cell_66,2,36,2,2,NA,NA,2,NA,0,2,NA,NA,0,2,50,NA
cell_67,2,36,2,3,2,2,2,NA,0,2,2,NA,0,2,50,2
cell_68,NA,36,2,NA,2,NA,2,2,NA,NA,NA,0,0,NA,NA,0
cell_69,2,36,2,3,2,2,2,2,NA,2,2,NA,NA,NA,NA,NA
cell_70,2,36,2,NA,2,2,2,NA,0,2,NA,NA,NA,NA,NA,NA
cell_71,2,NA,2,0,2,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA
cell_72,2,36,2,NA,2,2,2,2,0,2,2,NA,NA,NA,NA,NA
cell_73,2,36,2,0,2,2,2,2,2,2,2,2,3,NA,NA,2
cell_74,2,36,NA,5,2,2,2,NA,2,2,2,0,3,2,50,2
cell_75,NA,NA,2,0,NA,NA,2,2,0,2,2,0,3,NA,50,NA
cell_76,2,NA,2,0,2,2,2,2,0,2,NA,0,3,2,50,NA
cell_77,NA,36,2,NA,NA,2,2,2,0,2,NA,2,0,2,50,2
cell_78,2,36,2,2,2,2,2,2,10,2,2,2,0,2,NA,2
cell_79,2,36,NA,NA,2,2,NA,2,0,2,NA,NA,NA,2,NA,2
cell_80,2,36,2,NA,2,2,2,2,NA,2,2,0,0,2,50,2
cell_81,NA,36,2,10,NA,2,2,2,0,2,2,NA,NA,NA,50,2
cell_82,2,36,2,10,2,2,2,2,0,2,NA,NA,37,2,50,2
cell_83,2,36,2,10,2,NA,2,2,0,NA,NA,0,37,2,50,2
cell_84,NA,36,NA,10,2,2,2,2,0,NA,2,0,37,2,50,2
cell_85,2,36,2,10,2,0,2,2,NA,2,2,0,20,2,50,2
cell_86,2,36,NA,NA,2,0,2,NA,0,2,NA,0,20,2,50,2
cell_87,NA,36,2,10,2,0,2,2,0,2,NA,0,0,2,50,2
cell_88,2,36,2,10,2,0,2,2,4,2,NA,2,NA,2,50,2
cell_89,2,36,2,2,2,2,2,2,NA,2,2,0,0,NA,50,NA
cell_90,NA,36,2,2,2,2,NA,2,NA,NA,2,0,0,2,50,2
cell_91,2,36,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,50,2
cell_92,NA,36,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,50,2
cell_93,NA,NA,2,2,2,2,2,NA,0,2,2,NA,0,2,50,NA
cell_94,2,36,2,NA,NA,2,2,2,NA,2,2,3,NA,2,NA,2
cell_95,2,NA,2,2,2,NA,2,2,3,2,2,3,0,2,50,2
cell_96,2,36,NA,2,2,2,2,2,3,NA,NA,3,0,2,50,2
cell_97,2,36,2,0,2,0,2,2,NA,2,2,5,NA,2,50,2
cell_98,2,36,2,0,2,0,2,2,2,2,NA,5,0,2,50,NA
cell_99,2,36,2,NA,2,NA,2,2,NA,2,2,5,NA,2,NA,2
cell_100,2,36,2,0,NA,0,NA,NA,NA,NA,2,NA,0,2,50,2
cell_101,2,NA,2,NA,2,2,2,2,0,NA,2,5,0,2,50,0
cell_102,2,NA,2,0,NA,0,NA,NA,NA,2,2,5,0,2,50,2
cell_103,2,NA,NA,0,2,0,2,2,NA,2,NA,5,0,2,50,2
cell_104,2,36,NA,0,2,0,2,2,0,2,2,5,0,2,50,NA
cell_105,2,36,2,NA,2,2,2,NA,0,2,NA,2,0,2,50,3
cell_106,NA,NA,2,0,NA,0,2,2,0,NA,NA,2,NA,2,50,3
cell_107,NA,36,2,2,2,0,2,2,0,2,NA,NA,NA,2,50,3
cell_108,2,36,2,2,2,0,2,2,0,2,2,2,0,2,NA,NA
cell_109,2,36,2,2,NA,2,2,2,2,2,2,0,0,2,50,3
cell_110,2,NA,2,2,2,NA,2,2,2,2,2,NA,0,2,NA,NA
cell_111,NA,36,2,2,2,0,2,2,2,2,2,2,2,2,50,3
cell_112,2,36,NA,2,2,0,2,2,2,2,NA,2,NA,2,50,3
cell_113,2,36,2,0,2,NA,2,2,2,2,2,0,0,2,NA,0
cell_114,2,36,2,0,NA,NA,NA,2,2,2,2,NA,0,2,50,0
cell_115,2,36,NA,0,2,5,2,2,NA,2,2,5,NA,NA,NA,0
cell_116,2,36,2,0,2,5,2,2,2,2,2,5,NA,2,50,0
cell_117,NA,36,2,NA,2,5,NA,NA,2,2,NA,NA,NA,NA,NA,NA
cell_118,2,NA,2,2,2,5,2,2,2,2,2,0,2,2,50,0
cell_119,2,36,2,0,2,5,2,2,NA,2,NA,2,2,NA,50,2
cell_120,2,36,2,0,NA,5,2,2,NA,NA,2,2,2,2,50,0
cell_121,2,36,2,0,NA,10,2,2,2,NA,NA,NA,0,2,NA,3
cell_122,2,36,NA,0,NA,10,2,2,2,NA,2,8,NA,NA,50,3
cell_123,2,36,2,NA,2,10,2,NA,2,2,2,8,0,2,50,5
cell_124,2,36,2,0,2,10,2,NA,NA,2,2,8,0,2,NA,5
cell_125,2,36,NA,0,2,10,NA,2,2,NA,2,8,5,2,50,NA
cell_126,2,36,2,0,2,10,2,2,2,NA,NA,8,5,2,50,5
cell_127,2,36,2,2,2,10,2,NA,NA,2,NA,8,2,2,50,NA
cell_128,2,36,NA,0,NA,10,2,2,2,2,2,8,NA,2,50,5
cell_129,0,NA,NA,NA,2,3,2,2,NA,4,NA,2,NA,NA,NA,0
cell_130,0,NA,0,2,2,3,NA,2,5,0,NA,NA,NA,NA,NA,0
cell_131,0,36,3,2,NA,0,2,2,5,0,NA,2,NA,NA,NA,4
cell_132,NA,36,3,NA,0,0,2,2,5,NA,NA,2,NA,NA,NA,4
cell_133,2,36,10,NA,2,2,2,NA,5,5,3,2,NA,NA,NA,NA
cell_134,2,NA,10,2,2,NA,2,2,5,5,3,2,NA,NA,NA,4
cell_135,NA,36,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
cell_136,NA,36,NA,2,NA,2,2,2,NA,5,3,2,NA,NA,NA,0
cell_137,2,36,NA,NA,0,NA,2,2,5,5,3,2,NA,NA,NA,NA
cell_138,NA,36,0,2,NA,NA,2,NA,5,5,NA,2,NA,NA,NA,5
cell_139,2,36,0,2,8,0,2,NA,5,5,3,2,NA,NA,NA,5
cell_140,NA,NA,2,2,8,NA,NA,2,5,5,3,2,NA,NA,NA,5
cell_141,2,36,0,2,8,50,2,NA,NA,0,3,2,NA,NA,NA,3
cell_142,2,36,0,2,8,50,2,2,5,0,3,2,NA,NA,NA,3
cell_143,2,NA,NA,2,8,50,2,2,5,0,3,2,NA,NA,NA,3
cell_144,2,36,0,2,8,NA,NA,2,5,0,3,2,NA,NA,NA,3
cell_145,2,36,5,2,0,NA,2,2,0,2,3,2,NA,NA,NA,0
cell_146,NA,36,5,2,0,2,2,NA,NA,2,3,2,NA,NA,NA,2
cell_147,2,36,5,2,2,NA,2,2,0,5,3,NA,NA,NA,NA,0
cell_148,2,NA,NA,NA,2,0,2,2,0,5,NA,2,NA,NA,NA,2
cell_149,NA,36,5,2,NA,0,2,2,0,2,3,2,NA,NA,NA,0
cell_150,2,36,5,2,NA,NA,2,2,NA,2,3,2,NA,NA,NA,4
cell_151,NA,36,5,2,NA,NA,2,2,2,0,3,2,NA,NA,NA,3
cell_152,2,NA,5,2,0,2,2,2,2,0,3,2,NA,NA,NA,3
cell_153,2,NA,5,2,0,0,NA,2,0,2,3,2,NA,NA,NA,2
cell_154,2,36,5,2,0,0,2,2,0,NA,3,2,NA,NA,NA,2
cell_155,2,NA,5,2,0,0,2,2,0,2,3,2,NA,NA,NA,2
cell_156,2,36,5,2,0,0,2,NA,0,2,3,2,NA,NA,NA,NA
cell_157,8,36,5,2,2,NA,2,NA,2,NA,3,2,NA,NA,NA,NA
cell_158,8,36,5,2,0,NA,2,2,2,2,3,2,NA,NA,NA,2
cell_159,0,36,5,NA,0,2,NA,2,0,NA,3,NA,NA,NA,NA,2
cell_160,0,NA,NA,2,NA,2,NA,2,0,2,3,2,NA,NA,NA,2
cell_161,0,36,NA,2,NA,5,2,2,5,NA,5,NA,NA,NA,NA,2
cell_162,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2
cell_163,2,NA,0,2,3,5,2,2,0,2,5,3,NA,NA,NA,2
cell_164,2,36,0,2,NA,NA,2,2,0,0,5,NA,NA,NA,NA,2
cell_165,0,36,2,2,3,5,2,NA,0,2,NA,3,NA,NA,NA,NA
cell_166,0,36,2,2,3,NA,2,2,0,0,5,3,NA,NA,NA,2
cell_167,NA,NA,2,NA,3,5,2,2,0,0,NA,3,NA,NA,NA,2
cell_168,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,3,NA,NA,NA,NA
