,S1,S2,S3,S4,S5,S6,S7,S8
cell_1,13,8,2,3,NA,0,2,0
cell_2,13,8,2,3,2,NA,2,0
cell_3,13,NA,NA,3,2,0,NA,0
cell_4,NA,8,2,3,2,0,2,2
cell_5,13,8,NA,3,2,NA,2,0
cell_6,13,8,NA,NA,2,3,2,0
cell_7,13,8,2,NA,2,0,2,0
cell_8,13,NA,2,3,2,0,2,13
cell_9,13,NA,2,3,2,0,2,NA
cell_10,NA,8,2,3,2,0,2,0
cell_11,NA,8,2,3,2,3,2,0
cell_12,NA,8,2,3,2,3,2,0
cell_13,13,8,2,3,2,2,2,0
cell_14,13,8,2,3,NA,0,NA,NA
cell_15,NA,8,2,3,2,6,NA,0
cell_16,13,8,NA,3,NA,6,2,0
cell_17,13,8,2,3,2,24,2,NA
cell_18,13,8,NA,3,2,2,NA,NA
cell_19,13,8,NA,3,2,0,NA,NA
cell_20,13,8,2,NA,NA,0,2,59
cell_21,13,8,NA,NA,2,0,NA,2
cell_22,13,8,2,3,2,0,2,2
cell_23,13,8,2,3,2,2,2,NA
cell_24,13,8,NA,3,NA,2,2,NA
cell_25,13,8,2,3,2,2,2,2
cell_26,13,8,2,3,NA,NA,2,2
cell_27,13,8,2,3,2,2,2,0
cell_28,NA,NA,2,3,NA,2,2,0
cell_29,13,8,NA,3,2,2,NA,5
cell_30,13,8,NA,3,NA,2,NA,5
cell_31,13,NA,2,3,NA,2,2,2
cell_32,13,8,2,3,2,2,NA,2
cell_33,NA,8,2,3,2,0,2,2
cell_34,13,8,2,3,2,NA,2,NA
cell_35,13,8,2,NA,2,2,2,2
cell_36,13,8,2,3,2,0,2,2
cell_37,13,8,NA,3,2,NA,2,2
cell_38,NA,NA,2,NA,NA,2,2,NA
cell_39,13,8,NA,NA,2,0,2,2
cell_40,13,8,2,NA,2,0,2,2
cell_41,13,8,2,3,2,2,2,2
cell_42,13,8,2,NA,2,2,2,NA
cell_43,13,NA,2,NA,2,2,2,2
cell_44,13,8,2,NA,2,NA,NA,NA
cell_45,13,8,2,3,2,0,2,2
cell_46,13,8,2,3,2,0,2,2
cell_47,13,8,2,3,NA,0,2,2
cell_48,NA,8,2,3,2,0,2,2
cell_49,13,8,2,NA,2,10,2,2
cell_50,13,8,2,3,2,NA,2,2
cell_51,13,8,2,NA,2,10,2,2
cell_52,13,NA,2,3,2,10,2,2
cell_53,NA,8,NA,3,2,0,2,2
cell_54,NA,8,2,3,2,NA,2,2
cell_55,NA,8,NA,3,2,0,2,2
cell_56,13,8,2,3,NA,0,NA,2
cell_57,13,8,2,3,NA,2,2,0
cell_58,13,NA,2,3,2,2,2,0
cell_59,13,8,2,3,2,2,2,5
cell_60,13,8,2,3,NA,2,2,5
cell_61,13,8,2,NA,2,2,2,0
cell_62,13,8,2,NA,2,NA,2,0
cell_63,13,8,2,NA,2,2,2,0
cell_64,13,8,2,3,2,2,2,0
cell_65,13,8,2,0,2,6,2,3
cell_66,13,NA,2,0,2,NA,2,3
cell_67,NA,8,2,4,2,6,2,3
cell_68,13,NA,2,4,2,6,NA,3
cell_69,13,8,2,6,2,6,NA,3
cell_70,NA,NA,2,6,2,6,2,NA
cell_71,13,NA,2,0,NA,NA,2,3
cell_72,NA,NA,NA,0,NA,6,2,3
cell_73,NA,8,NA,16,2,0,2,3
cell_74,13,NA,2,16,NA,0,2,3
cell_75,13,8,NA,NA,2,0,2,3
cell_76,13,NA,2,NA,2,0,2,NA
cell_77,13,8,2,16,2,2,2,3
cell_78,13,8,2,16,NA,2,2,3
cell_79,13,8,2,16,2,2,2,3
cell_80,NA,8,2,NA,2,2,2,3
