,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_1,0,0,0,0,0,0,0,0,2,0,0,2
cell_2,0,0,0,0,0,0,0,0,2,0,0,2
cell_3,0,0,0,0,0,0,0,4,2,0,0,2
cell_4,0,0,0,0,0,0,0,4,2,0,0,2
cell_5,0,0,0,0,0,0,0,4,2,0,0,2
cell_6,14,0,0,0,0,0,0,4,2,0,0,2
cell_7,0,0,0,0,0,0,0,4,2,0,0,2
cell_8,0,0,0,0,0,0,0,4,2,0,0,2
cell_9,0,0,0,0,0,0,0,0,2,5,0,2
cell_10,0,0,0,0,0,0,0,0,2,5,0,2
cell_11,2,0,0,0,0,0,0,2,2,5,0,2
cell_12,2,0,0,0,0,0,0,2,2,5,0,2
cell_13,0,0,0,0,0,0,0,0,2,2,0,2
cell_14,0,0,0,0,0,0,0,0,2,0,0,2
cell_15,15,0,0,0,0,0,0,0,2,0,0,2
cell_16,15,0,0,0,0,0,0,0,2,0,0,2
cell_17,0,0,0,0,0,0,0,0,2,0,0,0
cell_18,9,0,0,0,0,12,0,0,2,0,0,0
cell_19,0,0,0,2,11,0,0,0,2,0,0,0
cell_20,0,0,0,39,0,0,0,0,2,0,0,0
cell_21,0,0,0,2,0,0,0,0,2,0,2,0
cell_22,3,0,0,0,0,0,0,0,2,0,0,0
cell_23,0,0,0,0,0,0,0,0,2,0,0,0
cell_24,0,0,0,0,0,0,0,0,2,0,0,0
cell_25,0,0,0,0,0,0,0,0,2,0,0,0
cell_26,0,0,0,8,0,0,0,0,2,0,0,0
cell_27,0,0,0,3,0,0,0,0,2,0,0,0
cell_28,0,0,0,3,0,0,0,0,2,0,0,0
cell_29,0,5,0,0,2,0,2,2,2,0,12,0
cell_30,0,5,0,0,2,0,2,2,2,0,12,0
cell_31,2,0,0,0,0,3,2,2,2,0,0,6
cell_32,0,0,0,0,0,0,2,2,2,0,0,6
cell_33,0,0,0,0,0,0,0,43,2,0,0,0
cell_34,0,0,0,0,0,0,0,43,2,0,2,0
cell_35,0,0,0,0,2,0,0,43,2,0,0,0
cell_36,0,0,0,0,0,0,0,43,2,0,0,0
cell_37,0,0,0,0,0,0,0,5,2,0,8,0
cell_38,0,0,0,0,0,0,0,5,2,0,8,0
cell_39,0,0,0,0,0,0,0,0,2,0,0,0
cell_40,0,0,0,0,0,0,0,0,2,0,0,0
cell_41,0,0,0,0,0,0,2,0,2,2,2,0
cell_42,2,0,0,0,0,0,2,0,2,2,0,0
cell_43,0,0,0,0,0,0,0,0,2,2,0,0
cell_44,0,0,2,0,0,0,0,0,2,2,0,9
cell_45,0,0,2,0,0,0,0,0,2,2,0,0
cell_46,0,0,0,0,0,0,0,0,2,2,0,2
cell_47,0,0,0,0,0,0,0,0,2,2,0,2
cell_48,0,0,0,0,0,0,0,0,2,2,0,0
cell_49,0,0,0,0,0,0,0,0,2,2,0,2
cell_50,0,0,0,0,0,0,4,0,2,2,0,0
cell_51,0,0,0,2,0,0,0,0,2,2,0,0
cell_52,0,0,0,2,0,0,10,0,2,2,0,0
cell_53,0,0,0,2,0,0,0,0,2,2,0,0
cell_54,0,0,0,0,0,0,0,0,2,2,5,0
cell_55,0,0,0,0,0,0,0,0,2,2,0,0
cell_56,0,0,0,0,2,0,0,0,2,2,0,0
cell_57,0,0,0,11,2,0,3,0,2,2,0,5
cell_58,0,0,2,11,2,0,3,0,2,2,0,5
cell_59,0,0,0,11,0,0,3,7,2,2,0,0
cell_60,0,0,0,11,0,0,3,7,2,2,0,0
cell_61,0,0,2,0,2,0,3,0,2,2,0,0
cell_62,0,0,2,0,2,0,3,0,2,2,0,0
cell_63,4,0,2,0,2,0,3,0,2,2,3,0
cell_64,0,0,2,0,2,0,3,0,2,2,3,0
cell_65,0,0,0,0,5,0,0,0,2,0,0,0
cell_66,2,0,0,0,5,0,0,0,2,9,0,0
cell_67,0,0,0,0,5,2,0,0,2,0,0,0
cell_68,0,0,0,0,5,0,0,0,2,0,0,0
cell_69,0,0,0,8,5,0,0,4,2,0,0,0
cell_70,0,0,0,0,5,0,0,0,2,0,0,0
cell_71,0,0,0,0,5,0,0,0,2,0,0,0
cell_72,0,0,0,0,5,0,0,0,2,0,0,0
cell_73,0,0,0,2,0,0,0,0,2,0,0,0
cell_74,0,0,2,2,0,0,0,0,2,0,0,0
cell_75,0,0,0,2,0,0,0,4,2,0,0,5
cell_76,0,0,0,2,0,0,0,0,2,0,0,5
cell_77,0,0,0,0,0,0,0,0,2,0,0,0
cell_78,0,0,0,0,0,0,0,0,2,0,0,0
cell_79,0,0,0,2,0,0,0,0,2,2,0,0
cell_80,0,0,0,0,0,0,0,0,2,0,0,0
cell_81,0,0,0,0,2,0,0,0,2,5,0,0
cell_82,0,0,0,0,0,0,0,0,2,0,0,0
cell_83,0,0,0,0,0,0,0,0,2,0,0,0
cell_84,2,0,0,0,0,0,3,0,2,0,0,0
cell_85,37,0,0,5,0,0,4,0,2,0,0,0
cell_86,37,0,0,0,0,0,4,0,2,5,0,0
cell_87,0,0,0,0,0,0,4,0,2,0,0,0
cell_88,0,0,0,0,0,0,4,0,2,0,0,0
cell_89,0,2,0,0,0,0,2,0,2,0,0,0
cell_90,0,2,0,0,0,0,0,0,2,0,0,0
cell_91,2,2,0,0,0,0,0,0,2,0,0,0
cell_92,2,2,0,2,0,0,0,0,2,0,0,0
cell_93,0,2,0,0,0,0,0,0,2,0,0,0
cell_94,0,2,0,0,0,0,0,0,2,0,0,0
cell_95,0,2,0,0,0,0,0,0,2,40,0,0
cell_96,0,2,0,0,0,0,0,0,2,40,0,5
cell_97,0,0,0,0,0,0,0,0,2,0,0,0
cell_98,0,0,0,0,0,0,0,0,2,0,2,0
cell_99,0,0,0,0,0,0,0,0,2,0,0,0
cell_100,0,0,0,0,0,0,0,3,2,0,0,0
cell_101,0,0,4,0,0,0,0,0,2,0,0,4
cell_102,0,0,4,0,0,0,0,0,2,0,0,4
cell_103,0,0,0,5,0,0,0,0,2,0,0,2
cell_104,0,4,0,0,0,0,0,0,2,0,0,0
cell_105,0,0,0,0,0,0,0,39,2,0,0,0
