cell_id	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
cell_1	2	2	8	0	2	4	2	3	2	3	-	2
cell_2	2	2	8	5	0	4	2	3	-	3	5	2
cell_3	2	-	8	-	13	4	2	3	2	3	-	2
cell_4	-	2	8	0	-	4	2	-	-	3	5	2
cell_5	-	-	8	5	-	-	2	3	2	3	5	-
cell_6	2	2	8	-	-	0	2	3	2	3	5	-
cell_7	2	-	8	-	3	-	2	3	2	-	5	2
cell_8	2	2	-	0	3	0	2	3	-	-	-	-
cell_9	-	2	8	2	-	-	2	3	2	3	-	-
cell_10	2	2	8	2	0	0	2	3	2	3	5	2
cell_11	2	2	8	2	0	5	2	3	2	3	5	2
cell_12	2	2	-	2	0	0	2	-	2	3	5	2
cell_13	-	2	8	-	-	2	2	3	2	3	5	2
cell_14	2	2	8	2	0	2	-	3	2	3	5	2
cell_15	2	2	8	2	5	0	2	3	2	3	-	2
cell_16	2	-	8	2	0	-	2	3	-	3	5	2
cell_17	-	2	8	0	0	2	-	3	2	-	5	2
cell_18	2	-	8	0	12	-	2	3	2	3	-	-
cell_19	2	2	8	-	0	2	2	3	2	3	-	2
cell_20	2	-	8	0	0	2	2	3	2	3	5	2
cell_21	2	2	8	5	2	-	2	3	2	-	5	2
cell_22	2	2	8	5	2	2	-	3	2	-	5	2
cell_23	2	2	8	0	2	2	2	3	-	3	-	2
cell_24	2	-	8	-	2	2	2	-	2	-	5	-
cell_25	2	2	8	-	2	2	2	3	2	3	5	2
cell_26	2	2	8	0	-	-	2	3	2	3	5	2
cell_27	-	2	8	-	2	2	2	3	2	3	5	2
cell_28	2	2	8	0	2	2	2	3	2	3	5	-
cell_29	2	-	8	0	-	2	-	3	2	3	5	2
cell_30	-	2	8	0	2	2	2	3	2	3	-	2
cell_31	2	2	-	0	2	2	2	3	2	3	5	2
cell_32	2	-	8	-	2	2	2	-	2	-	5	2
cell_33	2	2	2	-	2	2	13	3	-	-	5	2
cell_34	2	2	0	11	2	0	13	3	2	3	5	2
