cell_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_1,-,-,-,0,0,2,-,110,0,0,21,2
cell_2,3,0,2,-,-,2,4,110,0,0,21,2
cell_3,-,0,2,-,-,2,4,0,-,0,21,2
cell_4,-,0,-,0,-,2,4,-,0,0,21,2
cell_5,3,5,-,-,53,2,4,-,0,0,21,2
cell_6,3,0,2,0,-,2,4,0,-,0,-,2
cell_7,-,-,2,-,0,2,4,0,0,0,21,2
cell_8,3,-,2,0,4,2,4,0,0,0,21,2
cell_9,3,0,0,4,5,-,4,0,9,0,-,2
cell_10,3,2,-,4,5,-,4,-,9,-,21,2
cell_11,3,0,-,4,5,2,4,0,0,0,21,-
cell_12,3,-,0,4,5,2,4,-,0,0,21,2
cell_13,3,0,0,0,-,-,4,0,0,0,21,-
cell_14,3,0,0,0,5,2,4,0,0,0,21,2
cell_15,-,-,0,0,5,2,4,0,0,0,21,2
cell_16,3,0,0,0,5,-,4,0,-,0,-,2
cell_17,3,-,-,-,-,-,-,-,-,-,0,-
cell_18,3,-,-,-,-,-,-,-,-,-,-,2
cell_19,-,-,-,-,-,-,-,-,-,-,0,2
cell_20,3,-,-,-,-,-,-,-,-,-,-,2
cell_21,3,-,-,-,-,-,-,-,-,-,0,2
cell_22,3,-,-,-,-,-,-,-,-,-,-,2
cell_23,3,-,-,-,-,-,-,-,-,-,0,2
cell_24,3,-,-,-,-,-,-,-,-,-,0,2
cell_25,3,-,-,-,-,-,-,-,-,-,0,-
cell_26,3,-,-,-,-,-,-,-,-,-,0,2
cell_27,3,-,-,-,-,-,-,-,-,-,-,2
cell_28,3,-,-,-,-,-,-,-,-,-,0,2
cell_29,3,-,-,-,-,-,-,-,-,-,2,2
cell_30,3,-,-,-,-,-,-,-,-,-,-,2
cell_31,3,-,-,-,-,-,-,-,-,-,2,-
cell_32,-,-,-,-,-,-,-,-,-,-,2,2
cell_33,0,4,2,0,-,2,4,-,0,-,0,-
cell_34,0,4,2,0,2,2,4,-,0,0,0,2
cell_35,2,-,-,3,2,-,4,20,0,0,0,2
cell_36,0,4,2,0,2,2,-,0,0,-,0,2
cell_37,0,4,2,0,-,2,4,0,0,-,0,-
cell_38,0,4,2,0,-,-,4,0,0,0,0,2
cell_39,0,-,2,0,2,2,4,0,-,0,-,2
cell_40,0,4,2,0,-,2,-,0,0,0,-,2
cell_41,2,-,0,0,2,-,-,0,0,2,0,2
cell_42,2,4,2,-,2,2,4,0,0,2,-,-
cell_43,2,4,5,0,-,2,-,0,0,2,0,2
cell_44,2,4,-,3,2,-,4,2,0,2,6,2
cell_45,2,4,0,0,2,2,4,0,0,0,0,2
cell_46,2,4,0,0,2,2,4,0,0,0,-,-
cell_47,-,-,0,0,2,2,4,0,-,2,0,2
cell_48,2,4,2,0,-,2,4,2,0,2,0,2
cell_49,0,4,0,0,-,2,-,5,0,3,0,2
cell_50,0,4,0,-,-,2,4,-,0,3,0,2
cell_51,0,4,-,2,2,-,4,-,0,3,3,2
cell_52,0,4,13,0,2,2,4,5,0,3,3,-
cell_53,2,4,0,0,2,2,4,0,-,3,0,2
cell_54,2,-,0,0,2,2,4,0,0,3,0,2
cell_55,0,4,0,-,2,2,4,0,2,3,0,2
cell_56,0,4,0,0,2,2,4,2,2,3,0,2
cell_57,0,4,0,0,-,2,4,0,-,0,-,2
cell_58,0,-,0,0,2,2,4,0,0,0,0,2
cell_59,2,4,0,0,2,2,4,0,0,0,12,-
cell_60,0,4,0,-,2,2,4,-,0,0,12,-
cell_61,2,4,0,5,2,-,-,2,0,-,0,2
cell_62,2,4,0,-,2,-,4,2,0,0,0,2
cell_63,0,-,0,0,2,2,4,0,0,-,0,2
cell_64,0,4,0,-,2,2,4,-,0,-,0,-
cell_65,-,0,18,12,-,-,4,8,5,11,5,2
cell_66,0,0,18,12,0,2,-,0,5,11,5,2
cell_67,0,28,18,12,-,2,-,0,0,11,-,2
cell_68,0,28,18,12,2,2,4,0,2,-,5,2
cell_69,0,2,18,12,0,2,-,0,0,11,5,2
cell_70,0,-,18,12,0,2,4,0,0,11,5,2
cell_71,0,-,18,12,0,-,4,0,-,11,5,2
cell_72,-,0,18,12,-,-,-,2,0,11,5,-
cell_73,-,0,-,12,-,-,4,3,0,11,-,2
cell_74,0,0,18,12,0,2,4,3,0,11,-,2
cell_75,0,0,18,12,0,2,4,3,-,11,5,2
cell_76,-,0,-,12,0,2,4,3,-,11,5,2
cell_77,4,0,18,-,-,2,4,0,0,11,-,-
cell_78,-,0,-,12,0,-,4,-,0,-,-,-
cell_79,5,0,18,12,0,-,4,0,0,11,5,2
cell_80,0,0,18,12,0,2,4,0,0,11,5,2
cell_81,2,0,18,12,2,2,-,0,-,3,5,2
cell_82,2,0,18,12,2,2,4,0,-,3,5,2
cell_83,-,0,18,12,-,2,4,0,2,3,5,2
cell_84,0,-,18,12,2,2,4,0,2,3,5,2
cell_85,0,0,-,12,23,2,4,0,0,-,-,2
cell_86,0,0,18,12,2,2,4,0,-,0,5,2
cell_87,0,-,-,-,0,2,-,12,-,0,5,2
cell_88,0,0,18,12,0,2,4,12,0,0,5,2
cell_89,3,0,-,12,-,2,-,-,0,0,5,2
cell_90,-,0,18,-,4,2,4,0,0,0,5,2
cell_91,3,5,-,12,-,2,4,0,0,0,5,2
cell_92,3,0,18,12,4,2,-,0,0,0,5,2
cell_93,-,-,-,12,-,2,4,0,0,45,5,-
cell_94,0,2,-,12,0,2,4,0,0,45,5,-
cell_95,-,0,18,12,0,2,4,0,0,0,5,2
cell_96,0,0,18,-,0,2,4,0,2,0,5,2
cell_97,2,2,-,12,0,-,4,10,0,0,-,2
cell_98,2,2,2,12,0,2,4,0,0,0,2,2
cell_99,0,2,-,-,0,2,-,-,0,0,-,2
cell_100,0,2,2,12,5,-,4,0,0,0,2,2
cell_101,4,0,0,-,0,2,4,0,0,0,2,2
cell_102,4,2,0,12,0,-,4,-,0,-,2,2
cell_103,4,0,0,12,0,-,4,-,0,-,2,2
cell_104,4,0,0,12,0,-,4,0,0,0,2,2
cell_105,2,-,0,12,-,2,4,0,8,-,2,-
cell_106,0,5,0,-,-,2,4,0,8,0,2,-
cell_107,2,-,0,12,0,2,4,0,0,0,2,2
cell_108,2,-,0,12,-,2,-,2,0,0,2,2
cell_109,2,0,-,12,0,2,-,4,0,0,2,-
cell_110,2,0,0,12,0,2,4,0,-,0,2,2
cell_111,2,0,0,-,-,2,4,-,5,0,2,2
cell_112,2,-,0,12,2,-,-,0,-,0,2,2
cell_113,0,0,3,12,0,2,4,0,0,2,2,-
cell_114,0,0,-,-,0,2,4,0,0,-,2,2
cell_115,0,0,3,12,0,2,4,0,0,2,2,2
cell_116,0,0,3,12,-,2,-,19,-,2,2,2
