cell_id	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
cell_1	2	2	-	2	0	8	15	-	2	4	0	-
cell_2	2	2	2	2	-	8	-	2	2	4	0	4
cell_3	2	2	2	-	0	-	15	2	2	4	0	4
cell_4	-	2	2	0	2	-	15	2	-	-	0	-
cell_5	2	2	2	0	0	8	-	-	2	-	2	-
cell_6	2	2	2	3	0	8	15	-	2	4	0	-
cell_7	2	2	2	0	0	8	-	2	2	4	0	4
cell_8	-	-	2	0	0	8	15	2	2	4	-	4
cell_9	2	-	2	5	0	8	15	2	2	-	2	4
cell_10	2	2	2	0	-	-	15	-	-	4	-	4
cell_11	-	-	2	-	109	8	15	2	-	4	2	4
cell_12	2	-	-	9	109	8	15	2	-	-	-	4
cell_13	2	2	2	0	0	8	15	2	2	-	2	4
cell_14	2	2	-	0	0	8	15	2	2	-	2	-
cell_15	2	-	2	2	-	8	15	2	2	4	2	4
cell_16	-	2	2	2	-	8	15	2	2	4	2	4
cell_17	-	-	-	-	-	8	15	2	2	-	0	4
cell_18	-	-	-	-	-	8	15	2	2	4	0	4
cell_19	-	-	-	-	-	8	15	2	-	4	-	-
cell_20	-	-	-	-	-	-	-	2	2	4	0	-
cell_21	3	-	2	5	-	-	15	2	2	4	0	4
cell_22	3	2	2	5	-	-	15	2	-	-	0	4
cell_23	-	-	2	5	-	8	15	2	2	4	30	4
cell_24	3	2	2	5	0	8	15	2	2	-	30	-
cell_25	3	2	2	-	2	8	15	-	-	4	8	-
cell_26	-	2	-	-	0	8	15	2	-	4	8	4
cell_27	3	-	-	5	0	-	15	-	2	4	-	4
cell_28	3	2	2	-	-	8	15	2	2	4	0	4
cell_29	8	-	2	5	36	8	15	2	2	4	-	-
cell_30	8	2	2	5	36	-	-	2	2	-	22	-
cell_31	8	2	2	5	36	8	15	-	2	-	-	-
cell_32	8	2	2	5	36	8	15	2	-	4	2	4
cell_33	34	2	-	64	3	-	15	2	2	4	2	4
cell_34	34	2	2	64	3	0	15	2	2	-	-	4
cell_35	-	-	2	-	3	0	15	2	2	-	0	4
cell_36	-	2	2	64	3	0	15	2	2	4	0	-
cell_37	34	2	2	0	0	0	15	2	2	-	2	4
cell_38	34	-	2	0	0	-	15	2	2	4	2	4
cell_39	34	2	2	-	0	0	15	2	2	4	0	4
cell_40	34	2	-	0	0	0	15	2	-	-	-	4
cell_41	34	2	-	4	0	2	15	2	-	4	0	4
cell_42	34	-	-	4	0	-	15	2	-	4	0	-
cell_43	34	2	2	0	-	-	-	-	2	-	0	4
cell_44	34	2	2	0	-	2	15	2	2	4	0	4
cell_45	34	2	0	-	5	2	15	2	2	4	-	4
cell_46	-	2	-	2	5	2	15	2	2	4	-	4
cell_47	34	2	-	-	-	2	15	2	2	4	0	4
cell_48	34	2	-	-	-	2	15	-	2	4	2	4
cell_49	34	2	-	0	0	0	15	2	2	4	-	4
cell_50	34	2	2	0	0	-	15	-	2	4	0	-
cell_51	34	2	2	0	0	0	15	2	2	4	-	4
cell_52	34	2	-	0	0	0	15	2	2	4	-	4
cell_53	34	2	2	2	5	0	15	2	2	4	0	4
cell_54	34	-	2	2	0	2	15	-	2	4	0	4
cell_55	34	2	-	0	0	-	15	-	2	4	0	4
cell_56	34	2	2	0	0	0	15	2	2	4	-	4
cell_57	34	2	2	6	0	0	15	-	2	-	2	4
cell_58	34	2	2	6	0	0	15	2	2	4	2	-
cell_59	34	-	0	0	0	-	-	2	2	4	0	4
cell_60	34	2	0	11	0	74	15	2	2	4	0	4
cell_61	34	2	2	0	2	-	15	2	2	4	0	4
cell_62	34	2	2	-	2	0	15	2	2	4	0	4
cell_63	34	2	31	0	6	2	15	2	2	4	0	4
cell_64	34	2	31	-	6	2	15	2	-	4	0	4
cell_65	34	2	-	0	2	-	-	2	2	4	3	-
cell_66	34	2	0	0	2	-	-	2	2	-	3	4
cell_67	34	2	0	-	-	0	-	2	2	4	3	4
cell_68	34	2	-	2	2	-	3	2	2	4	3	-
cell_69	34	2	0	0	0	0	-	2	-	4	2	4
