cell_id,state_label,state_type,state_depth,ted_parent_state,ted_cluster,ted_depth,ted_cellID
cell_1,7,internal_or_root,3,6,7,2,1
cell_2,8,internal_or_root,4,7,8,3,2
cell_3,10,internal_or_root,5,8,10,4,3
cell_4,2,terminal,6,10,2,6,4
cell_5,6,internal_or_root,2,5,6,1,5
cell_6,5,internal_or_root,1,4,5,0,6
cell_7,5,internal_or_root,1,4,5,0,7
cell_8,5,internal_or_root,1,4,5,0,8
cell_9,6,internal_or_root,2,5,6,1,9
cell_10,13,internal_or_root,5,12,13,4,10
cell_11,3,terminal,6,13,3,5,11
cell_12,11,internal_or_root,3,6,11,2,12
cell_13,7,internal_or_root,3,6,7,2,13
cell_14,2,terminal,6,10,2,5,14
cell_15,6,internal_or_root,2,5,6,1,15
cell_16,12,internal_or_root,4,11,12,3,16
cell_17,13,internal_or_root,5,12,13,4,17
cell_18,3,terminal,6,13,3,5,18
cell_19,3,terminal,6,13,3,6,19
cell_20,3,terminal,6,13,3,6,20
cell_21,3,terminal,6,13,3,6,21
cell_22,13,internal_or_root,5,12,13,4,22
cell_23,6,internal_or_root,2,5,6,1,23
cell_24,9,internal_or_root,5,8,9,4,24
cell_25,3,terminal,6,13,3,5,25
cell_26,3,terminal,6,13,3,5,26
cell_27,11,internal_or_root,3,6,11,2,27
cell_28,11,internal_or_root,3,6,11,2,28
cell_29,8,internal_or_root,4,7,8,3,29
cell_30,6,internal_or_root,2,5,6,1,30
cell_31,1,terminal,6,9,1,6,31
cell_32,9,internal_or_root,5,8,9,4,32
cell_33,1,terminal,6,9,1,5,33
cell_34,7,internal_or_root,3,6,7,2,34
cell_35,6,internal_or_root,2,5,6,1,35
cell_36,6,internal_or_root,2,5,6,1,36
cell_37,7,internal_or_root,3,6,7,2,37
cell_38,1,terminal,6,9,1,5,38
cell_39,7,internal_or_root,3,6,7,2,39
cell_40,7,internal_or_root,3,6,7,2,40
cell_41,13,internal_or_root,5,12,13,4,41
cell_42,3,terminal,6,13,3,6,42
cell_43,12,internal_or_root,4,11,12,3,43
cell_44,13,internal_or_root,5,12,13,4,44
cell_45,1,terminal,6,9,1,5,45
cell_46,7,internal_or_root,3,6,7,2,46
cell_47,13,internal_or_root,5,12,13,4,47
cell_48,6,internal_or_root,2,5,6,1,48
cell_49,13,internal_or_root,5,12,13,4,49
cell_50,11,internal_or_root,3,6,11,2,50
cell_51,13,internal_or_root,5,12,13,4,51
cell_52,12,internal_or_root,4,11,12,3,52
cell_53,3,terminal,6,13,3,6,53
cell_54,3,terminal,6,13,3,5,54
cell_55,3,terminal,6,13,3,5,55
cell_56,13,internal_or_root,5,12,13,4,56
cell_57,13,internal_or_root,5,12,13,4,57
cell_58,6,internal_or_root,2,5,6,1,58
cell_59,3,terminal,6,13,3,6,59
cell_60,13,internal_or_root,5,12,13,4,60
cell_61,1,terminal,6,9,1,6,61
cell_62,9,internal_or_root,5,8,9,4,62
cell_63,6,internal_or_root,2,5,6,1,63
cell_64,9,internal_or_root,5,8,9,4,64
cell_65,3,terminal,6,13,3,6,65
cell_66,3,terminal,6,13,3,6,66
cell_67,3,terminal,6,13,3,6,67
cell_68,3,terminal,6,13,3,6,68
cell_69,3,terminal,6,13,3,6,69
cell_70,3,terminal,6,13,3,6,70
cell_71,3,terminal,6,13,3,6,71
cell_72,3,terminal,6,13,3,6,72
cell_73,3,terminal,6,13,3,6,73
cell_74,3,terminal,6,13,3,6,74
cell_75,3,terminal,6,13,3,6,75
cell_76,3,terminal,6,13,3,6,76
cell_77,3,terminal,6,13,3,6,77
cell_78,3,terminal,6,13,3,6,78
cell_79,3,terminal,6,13,3,6,79
cell_80,3,terminal,6,13,3,6,80
cell_81,3,terminal,6,13,3,6,81
cell_82,3,terminal,6,13,3,6,82
cell_83,3,terminal,6,13,3,6,83
cell_84,3,terminal,6,13,3,6,84
cell_85,3,terminal,6,13,3,6,85
cell_86,3,terminal,6,13,3,6,86
cell_87,3,terminal,6,13,3,6,87
cell_88,3,terminal,6,13,3,6,88
cell_89,3,terminal,6,13,3,6,89
cell_90,3,terminal,6,13,3,6,90
cell_91,3,terminal,6,13,3,6,91
cell_92,3,terminal,6,13,3,6,92
cell_93,3,terminal,6,13,3,6,93
cell_94,3,terminal,6,13,3,6,94
cell_95,3,terminal,6,13,3,6,95
cell_96,3,terminal,6,13,3,5,96
cell_97,3,terminal,6,13,3,6,97
cell_98,3,terminal,6,13,3,6,98
cell_99,12,internal_or_root,4,11,12,3,99
cell_100,3,terminal,6,13,3,6,100
cell_101,12,internal_or_root,4,11,12,3,101
cell_102,13,internal_or_root,5,12,13,4,102
cell_103,13,internal_or_root,5,12,13,4,103
cell_104,13,internal_or_root,5,12,13,4,104
cell_105,3,terminal,6,13,3,6,105
cell_106,3,terminal,6,13,3,5,106
cell_107,13,internal_or_root,5,12,13,4,107
cell_108,3,terminal,6,13,3,6,108
cell_109,3,terminal,6,13,3,6,109
cell_110,13,internal_or_root,5,12,13,4,110
cell_111,3,terminal,6,13,3,6,111
cell_112,3,terminal,6,13,3,6,112
cell_113,3,terminal,6,13,3,6,113
cell_114,3,terminal,6,13,3,6,114
cell_115,3,terminal,6,13,3,6,115
cell_116,3,terminal,6,13,3,6,116
cell_117,3,terminal,6,13,3,5,117
