cell_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_1,-,-,-,-,-,-,2,-,-,5,3,0
cell_2,-,-,-,-,-,-,2,-,0,-,-,4
cell_3,-,-,-,-,-,-,-,2,-,-,3,3
cell_4,-,-,-,-,-,-,-,-,3,5,3,0
cell_5,-,-,-,-,-,-,2,2,-,-,3,0
cell_6,-,-,-,-,-,-,2,2,0,-,3,0
cell_7,-,-,-,-,-,-,2,2,0,5,3,0
cell_8,-,-,-,-,-,-,2,2,0,5,-,0
cell_9,-,-,-,-,-,-,2,2,-,5,3,2
cell_10,-,-,-,-,-,-,2,2,4,5,3,2
cell_11,-,-,-,-,-,-,2,2,4,5,3,2
cell_12,-,-,-,-,-,-,2,2,-,5,3,-
cell_13,-,-,-,-,-,-,2,2,4,5,3,2
cell_14,-,-,-,-,-,-,-,2,-,-,3,2
cell_15,-,-,-,-,-,-,-,2,4,-,3,2
cell_16,-,-,-,-,-,-,2,2,4,5,3,2
cell_17,-,-,-,-,-,-,2,2,2,5,-,6
cell_18,-,-,-,-,-,-,2,2,2,5,3,6
cell_19,-,-,-,-,-,-,-,2,-,5,3,-
cell_20,-,-,-,-,-,-,-,2,2,5,-,6
cell_21,-,-,-,-,-,-,2,2,2,5,3,-
cell_22,-,-,-,-,-,-,2,2,2,-,3,6
cell_23,-,-,-,-,-,-,2,-,2,-,3,6
cell_24,-,-,-,-,-,-,2,2,2,5,3,-
cell_25,-,-,-,-,-,-,-,2,2,5,3,6
cell_26,-,-,-,-,-,-,2,2,2,5,3,6
cell_27,-,-,-,-,-,-,2,2,-,5,3,-
cell_28,-,-,-,-,-,-,2,2,2,5,3,6
cell_29,-,-,-,-,-,-,2,-,2,5,-,-
cell_30,-,-,-,-,-,-,2,2,-,5,3,6
cell_31,-,-,-,-,-,-,-,2,2,5,3,6
cell_32,-,-,-,-,-,-,2,2,2,5,3,6
cell_33,-,-,-,-,-,-,2,2,13,5,3,2
cell_34,-,-,-,-,-,-,2,2,13,-,3,2
cell_35,-,-,-,-,-,-,2,2,-,-,3,2
cell_36,-,-,-,-,-,-,2,2,13,5,3,2
cell_37,-,-,-,-,-,-,2,2,13,5,3,2
cell_38,-,-,-,-,-,-,2,2,-,5,3,2
cell_39,-,-,-,-,-,-,2,2,13,5,-,4
cell_40,-,-,-,-,-,-,2,2,13,5,3,4
cell_41,-,-,-,-,-,-,-,2,4,5,3,0
cell_42,-,-,-,-,-,-,2,2,4,5,3,0
cell_43,-,-,-,-,-,-,2,2,-,5,3,11
cell_44,-,-,-,-,-,-,-,2,4,5,3,3
cell_45,-,-,-,-,-,-,2,2,-,-,3,-
cell_46,-,-,-,-,-,-,2,2,2,5,-,9
cell_47,-,-,-,-,-,-,2,2,2,5,3,0
cell_48,-,-,-,-,-,-,2,-,2,5,3,5
cell_49,-,-,-,-,-,-,2,2,2,5,3,-
cell_50,-,-,-,-,-,-,2,2,-,-,3,5
cell_51,-,-,-,-,-,-,-,-,2,5,3,0
cell_52,-,-,-,-,-,-,2,2,2,5,-,0
cell_53,-,-,-,-,-,-,2,2,-,5,3,-
cell_54,-,-,-,-,-,-,2,2,3,5,3,-
cell_55,-,-,-,-,-,-,2,2,0,-,3,-
cell_56,-,-,-,-,-,-,2,-,-,5,3,2
