cell_id	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16
cell_1	-	2	-	11	-	-	-	-	2	5	-	3	2	-	2	5
cell_2	-	2	5	-	2	2	2	-	-	5	-	3	2	2	2	-
cell_3	2	2	5	11	-	2	2	0	2	5	2	3	2	2	2	5
cell_4	2	2	5	11	2	-	-	0	2	5	-	-	-	2	2	5
cell_5	-	-	-	-	2	2	2	-	-	5	-	0	2	2	-	5
cell_6	2	-	5	11	2	2	2	0	2	5	0	0	2	2	2	5
cell_7	2	2	5	11	2	2	-	4	2	5	-	-	2	2	2	5
cell_8	-	2	5	11	2	2	2	-	2	5	3	0	2	2	2	-
cell_9	-	2	5	11	2	2	-	2	2	5	-	2	2	2	2	5
cell_10	2	2	-	11	2	-	2	0	-	5	21	2	-	2	2	5
cell_11	2	2	5	-	-	-	-	0	2	-	-	2	2	2	2	5
cell_12	-	2	5	11	2	2	2	0	2	5	0	-	2	2	2	5
cell_13	2	-	5	11	2	2	2	0	2	5	-	0	-	2	-	-
cell_14	2	2	5	-	2	2	-	0	2	5	-	0	2	2	-	-
cell_15	2	2	5	11	-	-	2	2	2	5	0	0	-	2	2	-
cell_16	2	2	5	11	2	2	2	2	2	5	0	0	2	2	2	5
cell_17	2	2	5	11	-	2	2	-	2	5	13	4	2	2	2	5
cell_18	2	-	5	11	2	2	-	2	-	5	13	4	2	2	-	5
cell_19	2	-	5	11	-	2	2	2	2	5	0	-	2	2	2	-
cell_20	2	-	5	11	2	-	2	2	2	5	3	4	2	2	2	5
cell_21	2	2	5	11	2	2	2	2	-	-	0	4	2	2	2	5
cell_22	2	2	5	11	2	2	2	2	2	5	0	4	2	2	-	5
cell_23	-	2	5	11	2	2	-	2	2	5	2	4	-	-	2	5
cell_24	-	2	-	11	2	2	2	-	2	5	-	4	2	-	2	5
cell_25	-	2	-	11	-	2	2	-	2	5	0	2	2	2	2	5
cell_26	2	2	5	11	2	2	2	-	2	-	-	2	2	2	2	5
cell_27	2	2	5	11	-	2	2	2	2	-	0	-	-	2	-	5
cell_28	2	2	5	11	2	2	-	2	-	5	-	-	2	2	2	-
cell_29	-	2	5	11	2	2	2	0	2	5	-	-	-	2	-	5
cell_30	2	2	-	11	2	2	2	0	2	5	5	0	2	2	2	-
cell_31	2	2	5	11	2	2	2	2	2	5	10	-	2	2	2	5
cell_32	-	2	5	11	2	2	2	2	2	5	10	4	2	2	2	5
cell_33	2	2	5	11	2	-	-	2	2	5	3	9	-	3	-	5
cell_34	-	2	-	11	2	2	2	-	2	-	-	9	2	-	0	5
cell_35	-	2	5	11	2	2	2	2	2	5	3	3	2	-	4	5
cell_36	2	-	5	11	2	2	2	2	2	-	3	0	2	3	0	5
cell_37	2	-	5	-	2	2	2	2	2	5	3	8	-	3	-	5
