cell_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
cell_1,2,36,2,3,5,3,2,2,-,2,2,0,-,2,50,-
cell_2,2,-,-,-,5,3,2,2,30,2,2,2,2,2,-,3
cell_3,2,36,2,3,5,3,2,2,5,2,2,-,2,2,50,0
cell_4,2,36,2,3,5,3,-,2,5,2,-,2,-,2,50,-
cell_5,2,-,2,3,-,3,2,2,0,2,2,0,-,2,50,0
cell_6,2,36,-,-,5,3,-,2,0,2,2,0,-,2,50,5
cell_7,2,-,2,3,5,3,-,2,0,2,2,4,2,2,-,0
cell_8,2,36,2,-,5,-,2,-,0,-,2,-,2,2,50,-
cell_9,-,36,2,3,0,3,2,2,0,2,2,0,0,2,50,34
cell_10,2,36,2,3,-,3,-,2,0,2,2,0,0,-,50,34
cell_11,2,36,2,3,0,3,-,2,2,2,-,-,2,2,50,34
cell_12,2,36,-,3,0,3,2,-,-,2,2,0,-,2,50,34
cell_13,2,36,2,3,2,3,2,2,2,2,2,0,0,2,50,34
cell_14,-,36,2,-,3,-,2,2,2,2,-,0,0,2,50,34
cell_15,2,36,2,3,0,-,2,2,2,-,2,0,0,2,50,34
cell_16,2,36,2,3,5,3,2,2,2,-,2,-,-,2,50,34
cell_17,2,36,-,3,2,3,-,2,-,-,2,6,-,2,50,0
cell_18,2,-,2,3,2,3,2,2,13,2,2,-,-,2,50,-
cell_19,2,36,2,3,0,3,-,2,-,2,2,6,0,-,50,-
cell_20,2,36,2,3,0,3,2,2,-,2,2,6,0,2,50,0
cell_21,-,36,2,-,0,3,2,2,-,2,2,6,0,2,50,5
cell_22,2,36,2,-,0,3,2,-,13,2,2,6,0,2,50,5
cell_23,2,36,2,3,5,3,2,-,13,2,2,6,-,-,50,-
cell_24,2,36,-,3,5,3,2,2,13,-,2,6,0,2,50,5
cell_25,2,-,2,3,-,3,2,2,2,2,2,6,-,-,50,3
cell_26,2,-,-,3,5,-,-,2,2,2,2,6,0,2,50,3
cell_27,-,36,2,3,-,3,-,2,2,2,2,6,9,2,50,3
cell_28,2,36,-,-,5,3,-,2,2,2,-,6,-,2,50,3
cell_29,-,-,-,3,5,3,2,2,2,2,2,-,0,2,50,0
cell_30,2,36,2,-,5,3,2,-,2,2,2,-,0,2,50,2
cell_31,2,36,2,3,5,-,-,2,2,2,2,6,2,2,50,2
cell_32,2,36,2,3,-,3,2,2,2,2,2,6,0,2,-,0
cell_33,2,-,2,2,2,2,2,-,0,-,2,0,2,2,-,52
cell_34,2,36,2,-,2,2,2,2,-,2,2,2,2,2,50,52
cell_35,2,36,2,4,2,-,2,2,2,2,-,0,-,2,50,-
cell_36,2,36,2,0,-,-,2,2,2,2,-,0,-,2,50,52
cell_37,2,-,2,0,-,-,-,-,-,-,-,-,2,2,50,52
cell_38,2,36,2,-,-,-,-,-,-,-,-,-,-,2,-,52
cell_39,2,-,2,-,-,-,-,-,-,-,-,-,2,2,50,52
cell_40,2,36,-,4,-,-,-,-,-,-,-,-,2,2,50,52
cell_41,2,36,2,2,0,-,2,2,-,2,2,-,2,2,50,52
cell_42,-,-,2,2,0,2,2,2,2,2,2,0,2,-,-,-
cell_43,2,36,2,0,-,-,2,-,-,2,2,-,2,2,-,-
cell_44,-,-,2,0,0,2,-,2,-,2,2,0,2,2,50,52
cell_45,-,-,-,2,-,-,2,2,2,2,2,-,2,2,50,52
cell_46,2,36,2,-,0,2,2,-,-,2,2,5,2,2,50,-
cell_47,2,-,2,2,8,2,-,2,2,2,2,5,2,2,50,52
cell_48,2,36,2,2,8,2,2,2,2,2,-,5,2,-,50,-
cell_49,2,36,-,2,0,2,2,-,0,2,2,5,-,2,50,-
cell_50,2,36,2,2,0,2,2,2,0,2,-,-,2,2,50,52
cell_51,2,36,2,2,-,2,-,2,8,2,2,5,2,2,50,52
cell_52,2,36,2,2,2,-,2,2,8,-,2,5,2,2,50,52
cell_53,2,-,-,2,0,-,2,-,0,2,2,5,2,2,50,-
cell_54,2,36,2,2,-,-,2,-,0,2,2,-,2,2,50,52
cell_55,2,-,2,2,-,-,-,2,0,2,2,-,2,2,-,-
cell_56,2,36,2,2,0,2,2,2,0,2,2,5,2,-,50,52
cell_57,2,36,2,2,0,-,2,2,2,2,2,5,-,-,50,52
cell_58,2,36,-,2,2,2,2,-,2,2,2,-,2,2,-,52
cell_59,2,36,2,2,5,-,2,-,-,2,2,5,2,2,-,52
cell_60,2,36,2,2,0,-,-,-,2,-,2,5,2,2,50,52
cell_61,2,36,2,2,5,2,2,2,-,-,2,5,2,2,50,52
cell_62,2,36,2,2,5,2,2,2,2,2,2,5,-,2,50,-
cell_63,2,36,-,-,5,-,2,2,2,2,2,5,2,2,50,52
cell_64,2,-,-,2,-,2,2,2,-,-,2,5,-,2,50,52
cell_65,2,-,2,2,2,-,-,2,0,2,2,-,0,2,-,0
cell_66,2,36,2,2,-,-,2,-,0,2,-,-,0,2,50,-
cell_67,2,36,2,3,2,2,2,-,0,2,2,-,0,2,50,2
cell_68,-,36,2,-,2,-,2,2,-,-,-,0,0,-,-,0
cell_69,2,36,2,3,2,2,2,2,-,2,2,-,-,-,-,-
cell_70,2,36,2,-,2,2,2,-,0,2,-,-,-,-,-,-
cell_71,2,-,2,0,2,-,-,2,0,2,-,-,-,-,-,-
cell_72,2,36,2,-,2,2,2,2,0,2,2,-,-,-,-,-
cell_73,2,36,2,0,2,2,2,2,2,2,2,2,3,-,-,2
cell_74,2,36,-,5,2,2,2,-,2,2,2,0,3,2,50,2
cell_75,-,-,2,0,-,-,2,2,0,2,2,0,3,-,50,-
cell_76,2,-,2,0,2,2,2,2,0,2,-,0,3,2,50,-
cell_77,-,36,2,-,-,2,2,2,0,2,-,2,0,2,50,2
cell_78,2,36,2,2,2,2,2,2,10,2,2,2,0,2,-,2
cell_79,2,36,-,-,2,2,-,2,0,2,-,-,-,2,-,2
cell_80,2,36,2,-,2,2,2,2,-,2,2,0,0,2,50,2
cell_81,-,36,2,10,-,2,2,2,0,2,2,-,-,-,50,2
cell_82,2,36,2,10,2,2,2,2,0,2,-,-,37,2,50,2
cell_83,2,36,2,10,2,-,2,2,0,-,-,0,37,2,50,2
cell_84,-,36,-,10,2,2,2,2,0,-,2,0,37,2,50,2
cell_85,2,36,2,10,2,0,2,2,-,2,2,0,20,2,50,2
cell_86,2,36,-,-,2,0,2,-,0,2,-,0,20,2,50,2
cell_87,-,36,2,10,2,0,2,2,0,2,-,0,0,2,50,2
cell_88,2,36,2,10,2,0,2,2,4,2,-,2,-,2,50,2
cell_89,2,36,2,2,2,2,2,2,-,2,2,0,0,-,50,-
cell_90,-,36,2,2,2,2,-,2,-,-,2,0,0,2,50,2
cell_91,2,36,2,2,-,-,-,-,-,-,-,-,-,2,50,2
cell_92,-,36,2,2,2,-,-,-,-,-,-,-,-,2,50,2
cell_93,-,-,2,2,2,2,2,-,0,2,2,-,0,2,50,-
cell_94,2,36,2,-,-,2,2,2,-,2,2,3,-,2,-,2
cell_95,2,-,2,2,2,-,2,2,3,2,2,3,0,2,50,2
cell_96,2,36,-,2,2,2,2,2,3,-,-,3,0,2,50,2
cell_97,2,36,2,0,2,0,2,2,-,2,2,5,-,2,50,2
cell_98,2,36,2,0,2,0,2,2,2,2,-,5,0,2,50,-
cell_99,2,36,2,-,2,-,2,2,-,2,2,5,-,2,-,2
cell_100,2,36,2,0,-,0,-,-,-,-,2,-,0,2,50,2
cell_101,2,-,2,-,2,2,2,2,0,-,2,5,0,2,50,0
cell_102,2,-,2,0,-,0,-,-,-,2,2,5,0,2,50,2
cell_103,2,-,-,0,2,0,2,2,-,2,-,5,0,2,50,2
cell_104,2,36,-,0,2,0,2,2,0,2,2,5,0,2,50,-
cell_105,2,36,2,-,2,2,2,-,0,2,-,2,0,2,50,3
cell_106,-,-,2,0,-,0,2,2,0,-,-,2,-,2,50,3
cell_107,-,36,2,2,2,0,2,2,0,2,-,-,-,2,50,3
cell_108,2,36,2,2,2,0,2,2,0,2,2,2,0,2,-,-
cell_109,2,36,2,2,-,2,2,2,2,2,2,0,0,2,50,3
cell_110,2,-,2,2,2,-,2,2,2,2,2,-,0,2,-,-
cell_111,-,36,2,2,2,0,2,2,2,2,2,2,2,2,50,3
cell_112,2,36,-,2,2,0,2,2,2,2,-,2,-,2,50,3
cell_113,2,36,2,0,2,-,2,2,2,2,2,0,0,2,-,0
cell_114,2,36,2,0,-,-,-,2,2,2,2,-,0,2,50,0
cell_115,2,36,-,0,2,5,2,2,-,2,2,5,-,-,-,0
cell_116,2,36,2,0,2,5,2,2,2,2,2,5,-,2,50,0
cell_117,-,36,2,-,2,5,-,-,2,2,-,-,-,-,-,-
