cell_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_1,-,2,21,2,11,-,0,2,2,-,11,2
cell_2,-,2,-,2,11,3,0,2,2,-,11,2
cell_3,3,2,21,2,11,3,-,2,2,15,-,2
cell_4,3,2,21,-,11,3,2,2,-,-,11,-
cell_5,3,2,-,-,11,3,3,-,-,-,11,2
cell_6,3,2,21,2,11,3,3,2,2,15,11,2
cell_7,3,-,21,2,11,3,2,2,2,15,11,2
cell_8,3,2,21,-,11,3,2,-,2,15,11,2
cell_9,3,2,21,2,11,3,0,2,-,15,11,2
cell_10,-,2,-,2,11,3,-,-,2,15,11,2
cell_11,3,2,21,2,-,-,0,2,2,15,11,-
cell_12,3,2,21,2,11,-,0,-,2,15,11,2
cell_13,3,2,-,-,11,3,-,-,2,15,-,-
cell_14,3,2,21,2,11,3,2,2,2,15,11,2
cell_15,3,2,21,2,-,3,-,2,2,-,11,2
cell_16,3,2,21,2,11,3,2,2,2,15,11,2
cell_17,-,2,-,-,11,3,-,0,2,15,11,2
cell_18,-,2,21,2,11,3,0,0,2,15,-,-
cell_19,-,2,21,2,11,-,0,-,2,15,-,2
cell_20,3,2,21,2,11,-,0,39,2,15,11,2
cell_21,3,-,21,2,11,3,2,2,-,15,11,2
cell_22,3,2,21,2,-,-,0,-,2,15,11,2
cell_23,-,2,21,-,11,-,0,0,2,15,11,-
cell_24,3,2,-,-,11,3,2,2,2,15,11,2
cell_25,-,2,-,2,11,3,0,2,2,15,11,-
cell_26,3,2,21,2,-,3,-,2,2,15,11,2
cell_27,3,-,-,2,11,3,0,3,2,15,11,2
cell_28,3,2,-,2,11,-,0,3,2,15,11,-
cell_29,3,2,21,2,11,3,-,8,-,15,-,2
cell_30,3,2,-,2,11,3,2,8,2,15,11,2
cell_31,-,2,21,2,11,3,-,8,2,15,11,2
cell_32,3,2,21,2,11,3,-,8,2,-,-,2
cell_33,-,-,21,-,-,3,3,2,2,-,11,-
cell_34,3,2,21,2,11,3,-,-,2,15,11,2
