cell_id	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
cell_1	2	2	5	0	12	2	0	5	2	0	0	2
cell_2	2	2	5	0	0	2	0	5	2	0	0	2
cell_3	2	3	5	0	0	2	2	5	2	0	0	2
cell_4	2	3	5	0	0	2	0	5	2	0	0	2
cell_5	2	0	5	0	0	2	0	5	2	0	0	2
cell_6	2	2	5	0	0	2	0	5	2	0	5	2
cell_7	2	0	5	0	0	2	20	5	2	0	0	2
cell_8	2	0	5	0	0	2	0	5	2	0	0	2
cell_9	2	0	5	0	5	2	0	5	2	0	0	2
cell_10	2	0	5	0	5	2	0	5	2	0	0	2
cell_11	2	0	5	0	5	2	0	5	2	0	0	2
cell_12	2	0	5	0	5	2	0	5	2	0	0	2
cell_13	2	0	5	0	5	2	0	5	2	0	0	2
cell_14	2	0	5	0	5	2	0	5	2	0	0	2
cell_15	2	0	5	0	5	2	0	5	2	0	0	2
cell_16	2	0	5	0	5	2	0	5	2	0	0	2
cell_17	2	0	5	2	0	2	0	5	2	2	0	2
cell_18	2	0	5	2	0	2	0	5	2	2	0	2
cell_19	2	5	5	2	0	2	0	5	2	2	0	2
cell_20	2	0	5	2	0	2	0	5	2	2	0	2
cell_21	2	5	5	2	0	2	0	5	2	2	0	2
cell_22	2	5	5	2	0	2	0	5	2	2	0	2
cell_23	2	5	5	2	0	2	0	5	2	2	0	2
cell_24	2	5	5	2	0	2	0	5	2	2	0	2
cell_25	2	0	5	0	0	2	0	5	2	2	0	2
cell_26	2	0	5	0	2	2	0	5	2	0	0	2
cell_27	2	0	5	0	0	2	0	5	2	0	0	2
cell_28	2	0	5	0	0	2	3	5	2	0	0	2
cell_29	2	0	5	0	0	2	0	5	2	0	15	2
cell_30	2	0	5	0	0	2	0	5	2	0	15	2
cell_31	2	0	5	0	0	2	2	5	2	0	0	2
cell_32	2	0	5	0	0	2	0	5	2	0	0	2
cell_33	2	0	5	2	0	2	0	0	2	0	5	0
cell_34	2	0	5	2	0	2	0	0	2	0	5	0
cell_35	2	0	5	2	0	2	0	0	2	0	0	0
cell_36	2	0	5	2	0	2	0	0	2	0	0	0
cell_37	2	0	5	2	0	2	0	0	2	2	0	5
cell_38	2	0	5	2	0	2	0	0	2	2	0	0
cell_39	2	0	5	2	0	2	0	2	2	2	5	0
cell_40	2	0	5	2	0	2	0	2	2	2	0	0
cell_41	2	0	5	2	2	2	0	0	2	0	0	0
cell_42	2	0	5	2	0	2	0	0	2	0	0	0
cell_43	2	0	5	2	2	2	0	24	2	0	0	0
cell_44	2	0	5	2	2	2	0	0	2	0	0	2
cell_45	2	0	5	2	0	2	2	0	2	0	0	0
cell_46	2	0	5	2	0	2	2	0	2	0	0	0
cell_47	2	0	5	2	0	2	2	0	2	0	0	0
