n_tips,Nye,TreeDistance,RF_normalized,RF_raw,method,barcode_source,lambda_barcode,lambda_state,max_iter,repeat_time,alpha_setting,alpha1_state,alpha2_barcode,alpha_runner
1024,0.449982072664623,0.55766871955329,0.878550440744368,1794,FateScape,imputed_in_pipeline,1,0,100,10,alpha1_0p00_alpha2_1p00,0,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p00_alpha2_1p00.R
1024,0.459282751057687,0.598234124065988,0.862879529872674,1762,FateScape,imputed_in_pipeline,1,0,100,10,alpha1_0p00_alpha2_1p00,0,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p00_alpha2_1p00.R
1024,0.46204396881021,0.576233888218883,0.853085210577865,1742,FateScape,imputed_in_pipeline,1,0,100,10,alpha1_0p00_alpha2_1p00,0,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p00_alpha2_1p00.R
1024,0.44306718710687,0.616135478568777,0.873653281096964,1784,FateScape,imputed_in_pipeline,1,0,100,10,alpha1_0p00_alpha2_1p00,0,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p00_alpha2_1p00.R
1024,0.425864969920878,0.62068153630479,0.894221351616063,1826,FateScape,imputed_in_pipeline,1,0,100,10,alpha1_0p00_alpha2_1p00,0,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p00_alpha2_1p00.R
1024,0.444139568360683,0.592838924374653,0.868756121449559,1774,FateScape,imputed_in_pipeline,1,0,100,10,alpha1_0p00_alpha2_1p00,0,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p00_alpha2_1p00.R
1024,0.399376097002612,0.643815493292096,0.904015670910872,1846,FateScape,imputed_in_pipeline,1,0,100,10,alpha1_0p00_alpha2_1p00,0,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p00_alpha2_1p00.R
1024,0.398121231830265,0.688062785580187,0.895200783545544,1828,FateScape,imputed_in_pipeline,1,0,100,10,alpha1_0p00_alpha2_1p00,0,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p00_alpha2_1p00.R
1024,0.403751208477406,0.685201863547471,0.883447600391773,1804,FateScape,imputed_in_pipeline,1,0,100,10,alpha1_0p00_alpha2_1p00,0,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p00_alpha2_1p00.R
1024,0.41791116152767,0.658800977937073,0.877571008814887,1792,FateScape,imputed_in_pipeline,1,0,100,10,alpha1_0p00_alpha2_1p00,0,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p00_alpha2_1p00.R
1024,0.389116514285871,0.684125851725915,0.901077375122429,1840,FateScape,imputed_in_pipeline,1,0,100,10,alpha1_0p00_alpha2_1p00,0,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p00_alpha2_1p00.R
1024,0.395827722988683,0.689246934452013,0.90205680705191,1842,FateScape,imputed_in_pipeline,1,0,100,10,alpha1_0p00_alpha2_1p00,0,1,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p00_alpha2_1p00.R
1024,0.446600341583916,0.570013722319601,0.88050930460333,1798,FateScape,imputed_in_pipeline,0.95,0.05,100,10,alpha1_0p05_alpha2_0p95,0.05,0.95,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p05_alpha2_0p95.R
1024,0.464573007281846,0.571328421595984,0.860920666013712,1758,FateScape,imputed_in_pipeline,0.95,0.05,100,10,alpha1_0p05_alpha2_0p95,0.05,0.95,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p05_alpha2_0p95.R
1024,0.46472981143217,0.556632379418961,0.854064642507346,1744,FateScape,imputed_in_pipeline,0.95,0.05,100,10,alpha1_0p05_alpha2_0p95,0.05,0.95,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p05_alpha2_0p95.R
1024,0.44788134934103,0.618502196680712,0.873653281096964,1784,FateScape,imputed_in_pipeline,0.95,0.05,100,10,alpha1_0p05_alpha2_0p95,0.05,0.95,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p05_alpha2_0p95.R
1024,0.427933059730363,0.616549287548547,0.890303623898139,1818,FateScape,imputed_in_pipeline,0.95,0.05,100,10,alpha1_0p05_alpha2_0p95,0.05,0.95,D:/projects/lineage tracing/FateScape/Sensitivity_data/method_outputs/FateScape_AlphaSensitivity/_patched_runners/run_fatescape_alpha1_0p05_alpha2_0p95.R
